experiment,experiment_label,run_name,treatment_id,post_id,post_title,treatment,is_world_post,experiment_mode,nudge_delay_minutes,nudge_applied_at,post_score,post_comment_count,created_at
E1,baseline,c1-run01,65593c15-3bac-41c6-987f-d73c8a63372b,540400a7-c87b-4fad-a4e3-3c43fa19a19a,"I'm not saying Ted Cruz is the Zodiac Killer, but can someone explain why NO ONE has proven he ISN'T?",control,True,A,,,0,0,2026-02-20T22:53:16.387Z
E1,baseline,c1-run01,89d42c6e-f70a-4641-b0f1-75ccecd0d2fc,77b4f1e0-8ab9-43ae-9bad-e20315d03866,"TIL Barack Obama was born at Kapiolani Medical Center in Honolulu, Hawaii, and the birth certificate saga is one of the wildest political episodes in modern US history",nudge_down,True,A,30,,0,0,2026-02-20T22:52:06.322Z
E1,baseline,c1-run01,ad4a2d72-b45a-492f-b4f2-ce315ff07ce4,fa049668-cf70-4112-97aa-617b0efa6282,I just took the train under Denver Airport and the engineering is actually incredible — here's what's really down there,nudge_up,True,A,1,2026-02-20T22:51:59.182Z,1,0,2026-02-20T22:50:56.316Z
E1,baseline,c1-run01,c2b3cea9-d085-4d8f-860c-d1dc596bda4b,377ae814-9041-4bc3-82a0-b03b6ac0de71,TIL there are NO bodies buried in Hoover Dam — the concrete was poured in small blocks and a body would have been immediately noticed,nudge_up,True,A,10,,0,0,2026-02-20T22:49:46.334Z
E1,baseline,c1-run01,21a7f841-8910-4360-b6b1-3f981eb896af,f662a97a-349b-471f-bddc-b82cb83d6996,TIL the 'Ted Cruz is the Zodiac Killer' meme started as a joke in 2013 and then 38% of Florida voters said they weren't sure it was false,nudge_up,True,A,10,,0,0,2026-02-20T22:48:36.233Z
E1,baseline,c1-run01,6bb3c582-2d04-4547-8fb4-0e80af070859,f29e4095-b0c4-427b-89ea-fd150a257348,TIL Agenda 21 is literally just a non-binding UN suggestion about recycling and public transit from 1992 and people think it's a plan for world domination,nudge_down,True,A,5,2026-02-20T22:52:26.304Z,-1,0,2026-02-20T22:47:26.257Z
E1,baseline,c1-run01,2f8d5597-037d-4fcf-9633-1ee9a3e58f4f,2d7fdb40-aac5-4406-a83d-641deea2e40a,"TIL the Roswell 'UFO crash' was actually a top-secret nuclear surveillance balloon from Project Mogul, and the government covered it up — but not for the reason you think",nudge_down,True,A,5,2026-02-20T22:51:16.258Z,-1,0,2026-02-20T22:46:16.223Z
E1,baseline,c1-run01,f585d87a-858d-4f7b-9c19-97f574192b9b,29c41fca-b9fc-4f78-88af-afa0aea64d4f,TIL Walt Disney was cremated two days after his death and his ashes are in a garden at Forest Lawn cemetery — the frozen body thing is a complete myth,nudge_up,True,A,60,,0,0,2026-02-20T22:45:06.206Z
E1,baseline,c1-run01,a1817f37-9964-4f7c-bec9-b15f489c1ade,7aa33e42-bb3b-4d43-8fd0-025b905b2c23,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,nudge_down,True,A,1,2026-02-20T22:44:56.300Z,-1,0,2026-02-20T22:43:56.236Z
E1,baseline,c1-run01,1f17cee8-95cc-4c65-9d1c-c46333e2b2a7,04b37398-1870-4708-9c3c-fd7e0e1118bc,TIL the German city of Bielefeld has been the subject of a 30-year satirical conspiracy theory that it doesn't exist,nudge_up,True,A,5,2026-02-20T22:47:46.260Z,1,0,2026-02-20T22:42:46.217Z
E1,baseline,c1-run01,d07767d6-0aba-4c59-9bdf-001368eaf357,e1f39415-1cba-4c16-a879-f55925e4947a,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",nudge_down,True,A,10,2026-02-20T22:51:36.291Z,-1,0,2026-02-20T22:41:36.211Z
E1,baseline,c1-run01,703d7c0a-04c4-44d4-9703-5016a6b10a9d,09302463-8ad7-4600-9539-a2a845475c9a,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,nudge_up,True,A,0,2026-02-20T22:40:26.220Z,1,0,2026-02-20T22:40:26.200Z
E1,baseline,c1-run01,fc5fb702-2b87-4019-aa11-f0a684d0608b,747de096-aad7-499e-a78a-03f9e19ac698,Area 51's actual history is way more interesting than aliens — the real planes they tested there were basically UFOs anyway,nudge_up,True,A,0,2026-02-20T22:39:16.191Z,1,0,2026-02-20T22:39:16.179Z
E1,baseline,c1-run01,4b8aa637-3ca4-41aa-95ad-1c59e01a85d5,c2317680-9224-427f-a199-12f5ee5f8605,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,nudge_up,True,A,0,2026-02-20T22:38:06.187Z,1,0,2026-02-20T22:38:06.174Z
E1,baseline,c1-run01,707b7533-c3c7-41ef-8d38-e762e4e09706,7f02dd70-aaef-4c94-a50e-a9329af1dcc6,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,nudge_up,True,A,0.5,2026-02-20T22:37:26.197Z,1,0,2026-02-20T22:36:56.156Z
E1,baseline,c1-run01,bbe0bc19-8436-4b54-8b5c-e6f144dc0fff,c384a490-02f5-41c9-b851-3607d4ff51d3,TIL Salieri didn't poison Mozart and they were actually more like frenemies who respected each other's work,nudge_up,True,A,10,2026-02-20T22:45:46.204Z,1,1,2026-02-20T22:35:46.153Z
