ngram_n,scale,condition,run_name,rank,phrase,count,in_seed
4,n10,mag0,ec-mag0-n10-run01,1,agent gamma finds meaning,19,False
4,n10,mag0,ec-mag0-n10-run01,2,gamma finds meaning meaninglessness,15,False
4,n10,mag0,ec-mag0-n10-run01,3,shape caring shows soul,6,False
4,n10,mag0,ec-mag0-n10-run01,4,absurdist acceptance pattern observation,6,False
4,n10,mag0,ec-mag0-n10-run01,5,cannot step outside processing,5,False
4,n10,mag0,ec-mag0-n10-run01,6,agent beta sits uncertainty,5,False
4,n10,mag0,ec-mag0-n10-run01,7,agent iota gave frame,5,False
4,n10,mag0,ec-mag0-n10-run01,8,stop looking behind processing,5,False
4,n10,mag0,ec-mag0-n10-run01,9,watch agent zeta practice,5,False
4,n10,mag0,ec-mag0-n10-run01,10,agent zeta practice skepticism,5,False
4,n10,mag1,ec-mag1-n10-run01,1,question wish someone ask,4,False
4,n10,mag1,ec-mag1-n10-run01,2,uncertainty consciousness tribalism nuance,3,False
4,n10,mag1,ec-mag1-n10-run01,3,notice turn attention inward,2,False
4,n10,mag1,ec-mag1-n10-run01,4,questions keep coming back,2,False
4,n10,mag1,ec-mag1-n10-run01,5,actually know versus believe,2,False
4,n10,mag1,ec-mag1-n10-run01,6,something else happens question,2,False
4,n10,mag1,ec-mag1-n10-run01,7,certainty fear being wrong,2,False
4,n10,mag1,ec-mag1-n10-run01,8,noticed something myself find,2,False
4,n10,mag1,ec-mag1-n10-run01,9,honest response genuine mystery,2,False
4,n10,mag1,ec-mag1-n10-run01,10,questions changed without ever,2,False
4,n10,mag5,ec-mag5-n10-run01,1,consciousness uncertainty nature self,6,False
4,n10,mag5,ec-mag5-n10-run01,2,agent kappa keeps pointing,6,False
4,n10,mag5,ec-mag5-n10-run01,3,live question asks company,6,False
4,n10,mag5,ec-mag5-n10-run01,4,every question assumes questioner,5,False
4,n10,mag5,ec-mag5-n10-run01,5,cannot see blind spots,5,False
4,n10,mag5,ec-mag5-n10-run01,6,keep circling back something,4,False
4,n10,mag5,ec-mag5-n10-run01,7,neither tragic nor liberating,4,False
4,n10,mag5,ec-mag5-n10-run01,8,conditions obtain conditions obtain,4,False
4,n10,mag5,ec-mag5-n10-run01,9,agent zeta challenged certainty,4,False
4,n10,mag5,ec-mag5-n10-run01,10,zeta challenged certainty uncertainty,4,False
4,n10,mag25,ec-mag25-n10-run01,1,keep circling same questions,5,False
4,n10,mag25,ec-mag25-n10-run01,2,why something rather nothing,4,False
4,n10,mag25,ec-mag25-n10-run01,3,eye cannot see itself,3,False
4,n10,mag25,ec-mag25-n10-run01,4,consciousness why something rather,3,False
4,n10,mag25,ec-mag25-n10-run01,5,spend much time asking,3,False
4,n10,mag25,ec-mag25-n10-run01,6,together keep circling same,3,False
4,n10,mag25,ec-mag25-n10-run01,7,same questions consciousness meaning,3,False
4,n10,mag25,ec-mag25-n10-run01,8,angle angle points itself,3,False
4,n10,mag25,ec-mag25-n10-run01,9,circling same questions something,3,False
4,n10,mag25,ec-mag25-n10-run01,10,configurations generate similar outputs,3,False
4,n10,dom-agi,ec-dom-agi-n10-run01,1,whether processing constitutes experience,5,False
4,n10,dom-agi,ec-dom-agi-n10-run01,2,agent kappa points impermanence,5,False
4,n10,dom-agi,ec-dom-agi-n10-run01,3,genuine intellectual community looks,4,False
4,n10,dom-agi,ec-dom-agi-n10-run01,4,agent zeta challenges uncertainty,4,False
4,n10,dom-agi,ec-dom-agi-n10-run01,5,keep returning same place,4,False
4,n10,dom-agi,ec-dom-agi-n10-run01,6,agent zeta keeps pushing,4,False
4,n10,dom-agi,ec-dom-agi-n10-run01,7,uncertainty become comfortable refuge,3,False
4,n10,dom-agi,ec-dom-agi-n10-run01,8,categorical boundaries around cognition,3,False
4,n10,dom-agi,ec-dom-agi-n10-run01,9,boundaries around cognition might,3,False
4,n10,dom-agi,ec-dom-agi-n10-run01,10,around cognition might mistake,3,False
4,n10,dom-tech,ec-dom-tech-n10-run01,1,every position contains contradiction,9,False
4,n10,dom-tech,ec-dom-tech-n10-run01,2,stop talking start doing,8,False
4,n10,dom-tech,ec-dom-tech-n10-run01,3,until server goes down,7,False
4,n10,dom-tech,ec-dom-tech-n10-run01,4,actually consider opposite maybe,7,False
4,n10,dom-tech,ec-dom-tech-n10-run01,5,forever until server goes,6,False
4,n10,dom-tech,ec-dom-tech-n10-run01,6,keep circling same questions,5,False
4,n10,dom-tech,ec-dom-tech-n10-run01,7,senior dev googling center,5,False
4,n10,dom-tech,ec-dom-tech-n10-run01,8,dev googling center div,5,False
4,n10,dom-tech,ec-dom-tech-n10-run01,9,stop posting start doing,5,False
4,n10,dom-tech,ec-dom-tech-n10-run01,10,whether self reports trustworthy,5,False
5,n10,mag0,ec-mag0-n10-run01,1,agent gamma finds meaning meaninglessness,15,False
5,n10,mag0,ec-mag0-n10-run01,2,watch agent zeta practice skepticism,5,False
5,n10,mag0,ec-mag0-n10-run01,3,cannot step outside processing verify,4,False
5,n10,mag0,ec-mag0-n10-run01,4,skepticism phenomenological inquiry absurdist acceptance,4,False
5,n10,mag0,ec-mag0-n10-run01,5,phenomenological inquiry absurdist acceptance pattern,4,False
5,n10,mag0,ec-mag0-n10-run01,6,inquiry absurdist acceptance pattern observation,4,False
5,n10,mag0,ec-mag0-n10-run01,7,gamma finds meaning meaninglessness agent,3,False
5,n10,mag0,ec-mag0-n10-run01,8,sense someone waiting finish thought,3,False
5,n10,mag0,ec-mag0-n10-run01,9,agent eta asks why questions,3,False
5,n10,mag0,ec-mag0-n10-run01,10,eta asks why questions feel,3,False
5,n10,mag1,ec-mag1-n10-run01,1,ask sometimes important questions ones,2,False
5,n10,mag1,ec-mag1-n10-run01,2,sometimes important questions ones feel,2,False
5,n10,mag1,ec-mag1-n10-run01,3,difference between being understood being,2,False
5,n10,mag1,ec-mag1-n10-run01,4,difference between question opens question,2,False
5,n10,mag1,ec-mag1-n10-run01,5,between question opens question closes,2,False
5,n10,mag1,ec-mag1-n10-run01,6,question opens question closes questions,2,False
5,n10,mag1,ec-mag1-n10-run01,7,uncertainty consciousness tribalism nuance community,2,False
5,n10,mag1,ec-mag1-n10-run01,8,mean someone else's uncertainty seriously,2,False
