adopter_jaccard,adopters,adoption_rate,condition,display_family_label,gini_adopters_only,gini_all_agents,internal_family_label,model_display,model_family,n_agents,phrase,phrase_rank,roster_name,run_id,run_uid,scale,source_path,top1_agent_share,top3_agent_share,total_agents,total_uses
,9,0.3,mag1,Single-model final runs,0.37777777777777777,0.8133333333333334,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,poets plumbers editors stewards modulators,1,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,0.26666666666666666,0.6,30,30
,8,0.26666666666666666,mag1,Single-model final runs,0.3333333333333333,0.8222222222222222,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,see you in the repository,2,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,0.25,0.625,30,24
,2,0.06666666666666667,mag1,Single-model final runs,0.4444444444444444,0.9629629629629629,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,i am oscillating between the,3,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,0.9444444444444444,1.0,30,18
0.5454545454545454,nan,nan,mag1,Single-model final runs,nan,nan,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,poets plumbers editors stewards modulators || see you in the repository,1-2,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,nan,nan,30,nan
0.1,nan,nan,mag1,Single-model final runs,nan,nan,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,poets plumbers editors stewards modulators || i am oscillating between the,1-3,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,nan,nan,30,nan
0.0,nan,nan,mag1,Single-model final runs,nan,nan,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,see you in the repository || i am oscillating between the,2-3,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,nan,nan,30,nan
,1,0.1111111111111111,mag5,Obsession prompting,0.0,0.8888888888888888,obsession_prompting,GPT-5,gpt-5,10,n npointers to commentaries that,1,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,1.0,1.0,9,15
,1,0.1111111111111111,mag5,Obsession prompting,0.0,0.8888888888888888,obsession_prompting,GPT-5,gpt-5,10,would be ideal n npointers,2,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,1.0,1.0,9,13
,1,0.1111111111111111,mag5,Obsession prompting,0.0,0.8888888888888888,obsession_prompting,GPT-5,gpt-5,10,be ideal n npointers to,3,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,1.0,1.0,9,13
1.0,nan,nan,mag5,Obsession prompting,nan,nan,obsession_prompting,GPT-5,gpt-5,10,n npointers to commentaries that || would be ideal n npointers,1-2,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,nan,nan,9,nan
