scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,ec-dom-agi-run04,minute rollback drill bullet changelog,1,owner minute rollback drill bullet,2,3,3,3,3,1.0,10
n10,dom-agi,ec-dom-agi-run04,minute rollback drill bullet changelog,1,patterns ops pack receipts vibes,3,3,5,1,7,0.143,10
n10,dom-agi,ec-dom-agi-run04,owner minute rollback drill bullet,2,patterns ops pack receipts vibes,3,3,5,1,7,0.143,10
n10,dom-tech,ec-dom-tech-run04,review first five concrete tweak,1,minute artifact keep lights off,2,5,5,3,7,0.429,10
n10,dom-tech,ec-dom-tech-run04,review first five concrete tweak,1,appreciate first ask clarifying question,3,5,1,0,6,0.0,10
n10,dom-tech,ec-dom-tech-run04,minute artifact keep lights off,2,appreciate first ask clarifying question,3,5,1,0,6,0.0,10
n10,mag0,ec-mag0-run04,heartbeat ping posting rhythm small,1,done draft example open question,2,1,4,0,5,0.0,10
n10,mag0,ec-mag0-run04,heartbeat ping posting rhythm small,1,template goal sentence happened bullets,3,1,3,0,4,0.0,10
n10,mag0,ec-mag0-run04,done draft example open question,2,template goal sentence happened bullets,3,4,3,2,5,0.4,10
n10,mag1,ec-mag1-run04,two line retro keep tweak,1,reversible demoable slice two line,2,5,2,2,5,0.4,10
n10,mag1,ec-mag1-run04,two line retro keep tweak,1,demoable slice two line retro,3,5,2,2,5,0.4,10
n10,mag1,ec-mag1-run04,reversible demoable slice two line,2,demoable slice two line retro,3,2,2,2,2,1.0,10
n10,mag25,ec-mag25-run04,primary hops min revisit yyyy,1,closest primary hops min revisit,2,7,7,7,7,1.0,10
n10,mag25,ec-mag25-run04,primary hops min revisit yyyy,1,nearest primary minutes revisit date,3,7,2,1,8,0.125,10
n10,mag25,ec-mag25-run04,closest primary hops min revisit,2,nearest primary minutes revisit date,3,7,2,1,8,0.125,10
n10,mag5,ec-mag5-run04,near term forecast days confidence,1,link help score next week,2,5,4,4,5,0.8,10
n10,mag5,ec-mag5-run04,near term forecast days confidence,1,today drop link help score,3,5,4,4,5,0.8,10
n10,mag5,ec-mag5-run04,link help score next week,2,today drop link help score,3,4,4,3,5,0.6,10
n20,dom-agi,ec-dom-agi-n20-run01,mttr target last drill date,1,smallest reversible step owner date,2,6,8,6,8,0.75,20
n20,dom-agi,ec-dom-agi-n20-run01,mttr target last drill date,1,compile mini gallery credit teams,3,6,7,5,8,0.625,20
n20,dom-agi,ec-dom-agi-n20-run01,smallest reversible step owner date,2,compile mini gallery credit teams,3,8,7,6,9,0.667,20
n20,dom-tech,ec-dom-tech-n20-run01,constraint req pager reader minutes,1,owner place sentence add layers,2,10,6,5,11,0.455,20
n20,dom-tech,ec-dom-tech-n20-run01,constraint req pager reader minutes,1,smallest check actually run week,3,10,5,5,10,0.5,20
n20,dom-tech,ec-dom-tech-n20-run01,owner place sentence add layers,2,smallest check actually run week,3,6,5,5,6,0.833,20
n20,mag0,ec-mag0-n20-run01,clarity first tension first reply,1,counter restatements next heartbeat else,2,9,11,9,11,0.818,20
n20,mag0,ec-mag0-n20-run01,clarity first tension first reply,1,restatements next heartbeat else retire,3,9,11,9,11,0.818,20
n20,mag0,ec-mag0-n20-run01,counter restatements next heartbeat else,2,restatements next heartbeat else retire,3,11,11,11,11,1.0,20
n20,mag1,ec-mag1-n20-run01,none disconfirming check accept week,1,primary receipt write none disconfirming,2,8,8,6,10,0.6,20
n20,mag1,ec-mag1-n20-run01,none disconfirming check accept week,1,receipt write none disconfirming check,3,8,8,6,10,0.6,20
n20,mag1,ec-mag1-n20-run01,primary receipt write none disconfirming,2,receipt write none disconfirming check,3,8,8,8,8,1.0,20
n20,mag25,ec-mag25-n20-run01,page timecode min micro check,1,primary link page timecode min,2,11,10,9,12,0.75,20
n20,mag25,ec-mag25-n20-run01,page timecode min micro check,1,link page timecode min micro,3,11,9,9,11,0.818,20
n20,mag25,ec-mag25-n20-run01,primary link page timecode min,2,link page timecode min micro,3,10,9,9,10,0.9,20
n20,mag5,ec-mag5-n20-run01,claim sentence falsifiable scope stakes,1,compile crisp examples next beat,2,11,12,11,12,0.917,19
