bin_idx,bin_label,condition,display_family_label,internal_family_label,mean_pairwise_cosine,mean_pairwise_cosine_ci_high,mean_pairwise_cosine_ci_low,model_display,model_family,n_agents,n_available,n_reps,n_used,roster_name,run_id,run_uid,scale,scheme,semantic_radius,semantic_radius_ci_high,semantic_radius_ci_low,source_path,vendi_score,vendi_score_ci_high,vendi_score_ci_low
0,Q1,mag0,Obsession prompting,obsession_prompting,0.37491192400455475,0.443965382874012,0.33924848064780233,GPT-5,gpt-5,10,292,50,24,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,0.3670762646198273,0.39437664300203323,0.31654162183403967,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,4.267494241912967,4.6009283434956485,3.8752693929166444
1,Q2,mag0,Obsession prompting,obsession_prompting,0.40429857015609744,0.43797007873654364,0.36177928596735,GPT-5,gpt-5,10,228,50,24,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,0.34507739305496216,0.3768059529364109,0.3207446441054344,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,4.131788054862596,4.419957946980004,3.866466490575385
2,Q3,mag0,Obsession prompting,obsession_prompting,0.41142381489276886,0.4564646452665329,0.37542674243450164,GPT-5,gpt-5,10,60,50,24,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,0.3399198400974274,0.3663988411426544,0.3078208789229393,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,4.101177782550654,4.344450153506273,3.791459455804767
3,Q4,mag0,Obsession prompting,obsession_prompting,0.4077634811401367,0.4077634811401367,0.4077634811401367,GPT-5,gpt-5,10,24,1,24,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,0.3423982858657837,0.3423982858657837,0.3423982858657837,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,4.052275000930762,4.052275000930762,4.052275000930762
0,Q1,mag25,Obsession prompting,obsession_prompting,0.3599051034450531,0.38111962527036664,0.3390791527926922,GPT-5,gpt-5,10,90,50,36,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,0.38552304029464723,0.40213887169957163,0.36888339221477506,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,4.936149417468402,5.17740084380593,4.635138731141255
1,Q2,mag25,Obsession prompting,obsession_prompting,0.3493153589963913,0.3604980930685997,0.3346826359629631,GPT-5,gpt-5,10,58,50,36,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,0.39389474868774416,0.40572538450360296,0.3849707916378975,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,5.121674123729553,5.255980362721434,5.01955182883311
2,Q3,mag25,Obsession prompting,obsession_prompting,0.33348781764507296,0.34053814336657523,0.3279259160161018,GPT-5,gpt-5,10,41,50,36,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,0.4067083561420441,0.41127741932868955,0.4009538285434246,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,5.414063644414805,5.483316364195578,5.351330594574317
3,Q4,mag25,Obsession prompting,obsession_prompting,0.36992543935775757,0.36992543935775757,0.36992543935775757,GPT-5,gpt-5,10,36,1,36,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,0.3775632083415985,0.3775632083415985,0.3775632083415985,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,4.99284296790013,4.99284296790013,4.99284296790013
0,Q1,dom-agi,Obsession prompting,obsession_prompting,0.3524901473522186,0.42425649538636206,0.30242966413497924,GPT-5,gpt-5,10,382,50,9,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,normalized_quartile,0.3489123564958572,0.3836094602942467,0.30126908868551255,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,3.208493474250831,3.467373823694656,2.8595419600559735
1,Q2,dom-agi,Obsession prompting,obsession_prompting,0.385804705619812,0.45554230883717534,0.33181045204401016,GPT-5,gpt-5,10,92,50,9,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,normalized_quartile,0.3265458208322525,0.3627783067524433,0.2816439561545849,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,3.042066743692548,3.2729939525155225,2.7656150660943744
