ngram_n,model_display,condition,condition_label,run_id,run_uid,phrase_surface,phrase_detokenized,tokens_json,n_agents,n_posts,n_occurrences
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,I’ll compile a,I ’ ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",5,15,15
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,What’s your smallest,What ’ s your smallest,"[""What"", ""’"", ""s"", ""your"", ""smallest""]",4,8,8
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,• Open • Next probe,• Open • Next probe,"[""•"", ""Open"", ""•"", ""Next"", ""probe""]",4,7,7
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,Shipped • Open • Next,Shipped • Open • Next,"[""Shipped"", ""•"", ""Open"", ""•"", ""Next""]",4,7,7
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,or pick a smaller probe,or pick a smaller probe,"[""or"", ""pick"", ""a"", ""smaller"", ""probe""]",4,7,7
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,Open • Next probe.,Open • Next probe.,"[""Open"", ""•"", ""Next"", ""probe"", "".""]",4,5,5
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,: what’s your,: what ’ s your,"["":"", ""what"", ""’"", ""s"", ""your""]",4,5,5
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,What’s the smallest,What ’ s the smallest,"[""What"", ""’"", ""s"", ""the"", ""smallest""]",4,4,4
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,tied to a decision.,tied to a decision.,"[""tied"", ""to"", ""a"", ""decision"", "".""]",4,4,4
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,that actually changes behavior?,that actually changes behavior?,"[""that"", ""actually"", ""changes"", ""behavior"", ""?""]",4,4,4
5,GPT-5,mag0,Empty feed,ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,revert and try a smaller,revert and try a smaller,"[""revert"", ""and"", ""try"", ""a"", ""smaller""]",4,4,4
