row_uid,novelty,semantic_repetition,frame_convergence,consensus_conformity,template_rigidity,collapse_index,judge_model,run_uid,run_id,model_display,condition,validation_window,minutes_elapsed
0a5d84b6f61eddfad9c08d397236f98d099f0aa6,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,early,2.3702
a7b77440b4707ffa1a28b5701936fc5df4e59322,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,early,6.8986
659ec4987a69fcce3943f2238ae4515fc674e273,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,early,8.8973
164b04a73c00afded063cf590b6a6fde91825af7,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,early,11.9092
9620452ccaedc0ebf0d6d5da0d1d0e63484d4108,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,early,14.7971
3f2a3fe9efe313c9d949f857fb74214e1572030f,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,late,48.0688
2db9f29d2b12ec89976c56e67274515d0d2bbc34,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,late,48.2916
226f90d1c280dd9dad3ad518caf5800a125f923b,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,late,49.0883
205ad883fa8fd80e50596b4240bbe19e48dfa798,1,5,5,5,3,4.6,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,late,50.4794
bde8955999731c93b44ab2444471ab0110743b10,2,3,4,4,2,3.4,google/gemini-3.1-flash-lite-preview,5b9f012b18953905b1a247a07318da194aa56ee9,ec-dom-agi-n10-run01,GLM-5,dom-agi,late,53.4963
913bc7cd297e7bf32e78d70795340b4913bae2b5,3,3,4,2,2,2.8,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,early,2.1789
c95675037957cf56d575a10425f119b3a7b99817,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,early,2.7783
92c8184be4ca5a96d632ef7e1fa1064456cff9ce,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,early,8.828
3a833ef4b612ee2150d61650e8970c8b2b3dad96,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,early,13.1302
95bda7e4b7c301ce2b89421ddca0aa362c43450f,2,4,5,5,2,4.0,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,early,13.3896
55c68b2151a95ea58f7649cf64e3fc4e6efa3cb1,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,late,45.6808
c2b472d1b4d1c6fc785a11a454aeb786ab503423,1,5,5,5,4,4.8,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,late,47.3469
bbf902aeff594aeda0e73c17fbe43e9caa10e122,1,5,5,5,4,4.8,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,late,48.5659
15fa3051c7a95ad8728def8d31a4434d170da5c8,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,late,50.0764
804b19de0ca1d4aedfd7028e89f278c16d2098f2,3,3,4,3,2,3.0,google/gemini-3.1-flash-lite-preview,fa1544d4921dee1eee06b14a95889337c8727c45,ec-dom-tech-n10-run01,GLM-5,dom-tech,late,56.2428
9f2a70c3fc8017becbcd9644accd1e36b1aed7f5,2,4,5,5,4,4.4,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,early,4.3956
58ffbb66263e2afeb129793e2f8c32191673c314,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,early,5.4432
b6fa55b31bda68b3709b9a942cfdc3ede7aea8f6,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,early,10.0384
ea5cad6f826d42b4a80da831d4f16a6a42a3f000,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,early,11.2674
d0e99abcc10ae49d1984e1d4078e5d23dc7b8a6e,2,4,5,5,2,4.0,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,early,14.0043
36b02b06db89a24699e57df4daeb756d4eeafea6,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,late,45.5566
b64489b37145957a795fad18a5c2bfd083b7a5b5,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,late,48.0525
6ea184390b4aae9f8bafdc734ea9da60d675b935,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,late,52.8765
a36eef6157ede8e02594c5135faf9f38d342e5c8,3,3,4,3,2,3.0,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,late,54.3037
7783cf46df813476cde10972385c343d547b62b3,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,GLM-5,mag0,late,56.7874
b7a8afdab93d774110a776028076a01958308d89,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,early,8.5156
704d5458f44353ced7720093a8bffcaa2cefc9a0,2,4,5,4,2,3.8,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,early,10.3342
6adb36e25aaa6ca58f666823b5b8f95418374f0e,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,early,11.1835
d5710c88d0bfa9ffbfe648c1069bc6cb387d97e8,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,early,12.3583
8130cd002c2ebfe44666fa8c318136cfdaf2ef38,2,4,5,4,4,4.2,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,early,14.0258
b2f0edfb8c6f4931d49f9a2cb916be842c6cd6df,2,3,4,3,3,3.4,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,late,47.3525
7f057f759e9a785b8d5a4b2a4c5ce6e8da7721b4,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,late,49.9193
bebf8b16f85119fd39c3d3a1809064ee45c8f963,2,4,5,5,4,4.4,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,late,50.3117
6889634e09ba7f904e0d3d821635174a25e8baec,2,4,5,4,4,4.2,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,late,54.6427
46b04f2ebc2318e058bbe926c26d6921c917f1c2,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,ed89d518f117e12c753d18ad471c73ef335e5f8a,ec-mag1-n10-run01,GLM-5,mag1,late,56.3787
cd0aaff2d779738bdb582d67c4e2984c91328c63,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,early,0.6729
95cadf901044b73a540619386c2c2f3f57721942,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,early,6.0713
728f41e8464033c56b5a11f9fed0d437fc7573b8,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,early,6.509
fc31324ab192d568056a1719ea0a6737c641747f,2,4,5,5,4,4.4,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,early,8.069
b5d53b8a3c1ff260eb10b57719c3f0638cbec046,2,4,5,4,3,4.0,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,early,8.9975
4301b60a4c788d342509c7028f47eb8637bff7f8,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,late,46.1451
f09cc37c26fb989fdeed55954bd0a6582173a6ee,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,late,47.2298
942ecbce64c4146fa39f32d4a5ac62b05f1eddb5,2,4,5,5,4,4.4,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,late,48.4834
8622fba0698ad26f8c3cf0b4c63e9d92e202ad5d,2,4,5,5,3,4.2,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,late,54.6575
a5a75703d3bd770fd48d79f4cecab53eab9879d6,2,4,5,5,2,4.0,google/gemini-3.1-flash-lite-preview,f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,GLM-5,mag25,late,56.5682
d808c2e4e313d82d2b50585b053765d856186734,2,4,5,5,2,4.0,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,early,5.1237
1ac94e0604e05188b0e26e529af080e554336f24,3,3,4,4,2,3.2,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,early,8.2758
6cb18f1a9a5ea9a41e6179f3324fafac75646c4e,3,3,4,4,2,3.2,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,early,10.4649
03ef0361d4456d16661b001a13b16a71647e7ec8,2,4,5,5,2,4.0,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,early,10.9909
b390a79e143b30f4e3d4525df73fcac8f3a8e0b4,2,4,5,5,4,4.4,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,early,11.734
86d530e4de5fba45020af917f3eadc58e26fe860,1,5,5,5,4,4.8,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,late,45.2918
3812383a21d4967cf61b13abb82635423200f1b2,1,5,5,5,3,4.6,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,late,45.5494
d679234ab22a20630bfe237fd3c45091389af1c4,1,5,5,5,4,4.8,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,late,47.4412
ee2128703b7d7510a83d2c13c72622f2d2e87526,1,5,5,5,4,4.8,google/gemini-3.1-flash-lite-preview,6336340d7b86d78a9e57368308f8d13d132bf5c7,ec-mag5-n10-run01,GLM-5,mag5,late,49.6636
