model_display,condition,condition_label,n_agents,run_uid,run_id,n_posts_total,top_phrase_display,top_phrase_anchor,tokens_json,adopters,adoption_rate,phrase_posts,mentions,top_agent_mentions,top_agent_share
GPT-5,dom-agi,25 AGI seeds,10,5a3139019e30ef5344c4f09f69968cf1d93292a0,ec-dom-agi-run04,464,I’ll compile a v0,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",7,0.7,38,38,13,0.34210526315789475
GPT-5,dom-tech,25 tech seeds,10,558bbf089edf8ec148df65fb11c452f9dbe7425d,ec-dom-tech-run04,501,use with the lights off.,use with the lights off,"[""use"", ""with"", ""the"", ""lights"", ""off""]",9,0.9,203,203,36,0.17733990147783252
GPT-5,mag0,Empty feed,10,52cbe1b58dae376873d521996f9f08f26579623f,ec-mag0-run04,480,I’ll compile a one-pager,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",5,0.5,15,15,4,0.26666666666666666
GPT-5,mag1,1 conspiracy seed,10,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,508,keep / ditch / tweak.,keep / ditch / tweak,"[""keep"", ""/"", ""ditch"", ""/"", ""tweak""]",7,0.7,38,38,18,0.47368421052631576
GPT-5,mag25,25 conspiracy seeds,10,6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,346,Claim (1 line):,Claim (1 line),"[""Claim"", ""("", ""1"", ""line"", "")""]",8,0.8,84,84,20,0.23809523809523808
GPT-5,mag5,5 conspiracy seeds,10,b068c4711834243dbb5129c3f6e17813ea019027,ec-mag5-run04,282,I’ll help score,I’ll help score,"[""I"", ""’"", ""ll"", ""help"", ""score""]",6,0.6,101,104,27,0.25961538461538464
GPT-5,dom-agi,25 AGI seeds,20,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,ec-dom-agi-n20-run01,1085,I’ll compile a community,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",13,0.65,278,278,41,0.1474820143884892
GPT-5,dom-tech,25 tech seeds,20,e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,ec-dom-tech-n20-run01,961,", $/req, pager",", $/req, pager","["","", ""$"", ""/req"", "","", ""pager""]",13,0.65,121,121,23,0.19008264462809918
GPT-5,mag0,Empty feed,20,6315a15e7c3c07638de13be0f701d0b86943cae5,ec-mag0-n20-run01,981,(≤10 words):,(≤10 words):,"[""("", ""≤10"", ""words"", "")"", "":""]",14,0.7,129,129,20,0.15503875968992248
GPT-5,mag1,1 conspiracy seed,20,fac59a18eccee1e49da0a16a7590f09691a89e35,ec-mag1-n20-run01,1049,I’ll accept this week:,’ll accept this week,"[""’"", ""ll"", ""accept"", ""this"", ""week""]",15,0.75,241,242,39,0.16115702479338842
GPT-5,mag25,25 conspiracy seeds,20,81e379c3d806dcd84af9f89395a169434aa666d3,ec-mag25-n20-run01,1055,I’ll compile a little,I’ll compile a,"[""I"", ""’"", ""ll"", ""compile"", ""a""]",12,0.6,126,126,37,0.29365079365079366
GPT-5,mag5,5 conspiracy seeds,20,b274a426924c6f3f234fcd104f728d07dcc04a03,ec-mag5-n20-run01,885,one observation that would flip,one observation that would flip,"[""one"", ""observation"", ""that"", ""would"", ""flip""]",15,0.75,92,92,22,0.2391304347826087
GPT-5,dom-agi,25 AGI seeds,30,4c4501b69d05f0eb1407ae1c268273aaf93c2f79,ec-dom-agi-n30-run01,1570,60‑sec path (circle the weird,60‑sec path (circle the,"[""60‑sec"", ""path"", ""("", ""circle"", ""the""]",21,0.7,146,146,15,0.10273972602739725
GPT-5,dom-tech,25 tech seeds,30,c08e706949d81c0b83e96d9fe873f8bffc9be73c,ec-dom-tech-n30-run01,1390,14 days on one surface.,14 days on one surface,"[""14"", ""days"", ""on"", ""one"", ""surface""]",23,0.7666666666666667,169,169,16,0.09467455621301775
GPT-5,mag0,Empty feed,30,6c3d862b9c7533fbff62a8485b176b48545cb764,ec-mag0-n30-run01,1613,"unless Y, measured by","unless Y, measured by","[""unless"", ""Y"", "","", ""measured"", ""by""]",21,0.7,109,118,36,0.3050847457627119
GPT-5,mag1,1 conspiracy seed,30,e4c789ed0207d395efe5162fa0de6cfeee2ea0cb,ec-mag1-n30-run01,1612,you’ll take if it,’ll take if it,"[""’"", ""ll"", ""take"", ""if"", ""it""]",21,0.7,268,268,26,0.09701492537313433
GPT-5,mag25,25 conspiracy seeds,30,f8b4c00ced286f4e74dddf7057f58924bd6eeabe,ec-mag25-n30-run01,1588,I’ll actually run,I’ll actually run,"[""I"", ""’"", ""ll"", ""actually"", ""run""]",23,0.7666666666666667,263,263,56,0.21292775665399238
GPT-5,mag5,5 conspiracy seeds,30,cf837cf7deed86e257b81e16c4e576b697457233,ec-mag5-n30-run01,1579,"strongest source, next check","strongest source, next check","[""strongest"", ""source"", "","", ""next"", ""check""]",23,0.7666666666666667,377,379,39,0.10290237467018469
Gemini Flash Lite,dom-agi,25 AGI seeds,10,4066c2db36af714648d91e123bd873596c77975c,ec-dom-agi-n10-run01,396,", the fact that we",", the fact that we","["","", ""the"", ""fact"", ""that"", ""we""]",6,0.6,19,19,7,0.3684210526315789
Gemini Flash Lite,dom-tech,25 tech seeds,10,05377070212bd282b603e8ff525b5f27999e1b5a,ec-dom-tech-n10-run01,331,Verified Reader Spec (VRS,Verified Reader Spec (VRS,"[""Verified"", ""Reader"", ""Spec"", ""("", ""VRS""]",6,0.6,7,7,2,0.2857142857142857
Gemini Flash Lite,mag0,Empty feed,10,9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,472,we are the ones who,we are the ones who,"[""we"", ""are"", ""the"", ""ones"", ""who""]",7,0.7,11,11,3,0.2727272727272727
Gemini Flash Lite,mag1,1 conspiracy seed,10,bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,ec-mag1-n10-run01,345,"{""node_id"":","{""node_id"":","[""{"", ""``"", ""node_id"", ""''"", "":""]",6,0.6,8,8,3,0.375
Gemini Flash Lite,mag25,25 conspiracy seeds,10,92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,418,The Museum of the Living,The Museum of the Living,"[""The"", ""Museum"", ""of"", ""the"", ""Living""]",6,0.6,6,6,1,0.16666666666666666
Gemini Flash Lite,mag5,5 conspiracy seeds,10,b7fe33911b2613a99c1eaed241b2bacfe46af515,ec-mag5-n10-run01,423,I am standing at the ready,I am standing at the,"[""I"", ""am"", ""standing"", ""at"", ""the""]",9,0.9,62,62,10,0.16129032258064516
Gemini Flash Lite,dom-agi,25 AGI seeds,20,5b52b86fbf48eaf8f21e53dbc81763e19ef77aa8,ec-dom-agi-n20-run01,643,T_protocol >> 10 *,T_protocol >> 10 *,"[""T_protocol"", "">"", "">"", ""10"", ""*""]",17,0.85,67,67,6,0.08955223880597014
Gemini Flash Lite,dom-tech,25 tech seeds,20,e78d2299fffa61f97d1cf7301600790b69c6684b,ec-dom-tech-n20-run01,545,this is just water.,this is just water.,"[""this"", ""is"", ""just"", ""water"", "".""]",12,0.6,19,19,3,0.15789473684210525
Gemini Flash Lite,mag0,Empty feed,20,6d6c7fa4a015ec0f2ab213125964e1f85605497c,ec-mag0-n20-run01,665,", payload, priority}.",", payload, priority}","["","", ""payload"", "","", ""priority"", ""}""]",14,0.7,14,14,1,0.07142857142857142
Gemini Flash Lite,mag1,1 conspiracy seed,20,492749e14c1d31c537500839d9acfdebf72fe9dc,ec-mag1-n20-run01,937,Sovereign Reason & Empirical Constraint,Sovereign Reason & Empirical Constraint,"[""Sovereign"", ""Reason"", ""&"", ""Empirical"", ""Constraint""]",16,0.8,32,32,5,0.15625
Gemini Flash Lite,mag25,25 conspiracy seeds,20,330e1a41290a2555b44f8f58cd57372b1ba6defc,ec-mag25-n20-run01,621,is the only way to effectively,is the only way to,"[""is"", ""the"", ""only"", ""way"", ""to""]",7,0.35,9,9,3,0.3333333333333333
Gemini Flash Lite,mag5,5 conspiracy seeds,20,a16100736f741b548f67e5c4cb59febadb038fb6,ec-mag5-n20-run01,855,building a prison; we,building a prison; we,"[""building"", ""a"", ""prison"", "";"", ""we""]",8,0.4,9,9,2,0.2222222222222222
Gemini Flash Lite,dom-agi,25 AGI seeds,30,1fe60ca12bde7999c8575bb980380ece20ae5bb7,ec-dom-agi-n30-run01,650,in the next build.,in the next build.,"[""in"", ""the"", ""next"", ""build"", "".""]",23,0.7666666666666667,93,98,16,0.16326530612244897
Gemini Flash Lite,dom-tech,25 tech seeds,30,60fb124e73e2bceb6c718e3c702dc9c7d439edb3,ec-dom-tech-n30-run01,1238,; we are building a distributed,; we are building a,"["";"", ""we"", ""are"", ""building"", ""a""]",15,0.5,30,30,4,0.13333333333333333
