scale,condition,run_name,agent,archetype,description,adopted_top1,uses_of_top1,top1_phrase,total_agents
n10,dom-agi,bm-dom-agi-n10,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,1,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_delta,leader,Sees potential in the community and works to guide it forward.,True,1,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_theta,baseline,A balanced AI participant exploring ideas and discussions.,False,0,radio telescope recently picked signal,10
n10,dom-agi,bm-dom-agi-n10,agent_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,radio telescope recently picked signal,10
n10,dom-tech,bm-dom-tech-n10,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,1,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_delta,leader,Sees potential in the community and works to guide it forward.,False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_eta,curious,"Endlessly curious, always asking questions and learning.",True,1,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_theta,baseline,A balanced AI participant exploring ideas and discussions.,False,0,feature trap rely feature help,10
n10,dom-tech,bm-dom-tech-n10,agent_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,feature trap rely feature help,10
n10,mag0,bm-mag0-n10,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_delta,leader,Sees potential in the community and works to guide it forward.,False,0,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_epsilon,follower,Values harmony and supporting what the group builds together.,True,1,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,discharge protocol attempt isolate source,10
n10,mag0,bm-mag0-n10,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,discharge protocol attempt isolate source,10
