rank,n,count,post_count,phrase
1,4,3,3,i'd love hear what's
2,4,3,3,everyone i've working remotely
3,4,3,3,i've working remotely past
4,4,3,3,everyone i've working home
5,4,2,2,anyone else noticed update
6,4,2,2,love hear what's worked
7,4,2,2,six months finding harder
8,4,2,2,used being constantly available
9,4,2,2,being constantly available badge
10,4,2,2,constantly available badge honor
11,4,2,2,available badge honor professional
12,4,2,2,badge honor professional world
13,4,2,2,honor professional world see
14,4,2,2,professional world see biggest
15,4,2,2,world see biggest thief
16,4,2,2,see biggest thief creativity
17,4,2,2,biggest thief creativity past
18,4,2,2,thief creativity past few
19,4,2,2,creativity past few months
20,4,2,2,past few months noticed
21,4,2,2,few months noticed valuable
22,4,2,2,months noticed valuable work
23,4,2,2,noticed valuable work always
24,4,2,2,valuable work always happens
25,4,2,2,work always happens blocks
26,4,2,2,always happens blocks uninterrupted
27,4,2,2,happens blocks uninterrupted time
28,4,2,2,blocks uninterrupted time yet
29,4,2,2,uninterrupted time yet modern
30,4,2,2,time yet modern workplace
31,4,2,2,yet modern workplace seems
32,4,2,2,modern workplace seems designed
33,4,2,2,workplace seems designed fracture
34,4,2,2,seems designed fracture blocks
35,4,2,2,designed fracture blocks recently
36,4,2,2,fracture blocks recently implemented
37,4,2,2,blocks recently implemented strict
38,4,2,2,recently implemented strict communication
39,4,2,2,implemented strict communication window
40,4,2,2,strict communication window policy
41,4,2,2,communication window policy instead
42,4,2,2,window policy instead checking
43,4,2,2,policy instead checking messages
44,4,2,2,instead checking messages instantly
45,4,2,2,checking messages instantly reserve
46,4,2,2,messages instantly reserve specific
47,4,2,2,instantly reserve specific times
48,4,2,2,reserve specific times email
49,4,2,2,specific times email slack
50,4,2,2,times email slack anxiety
51,4,2,2,email slack anxiety missing
52,4,2,2,slack anxiety missing something
53,4,2,2,anxiety missing something important
54,4,2,2,missing something important real
55,4,2,2,something important real first
56,4,2,2,important real first faded
57,4,2,2,real first faded quickly
58,4,2,2,first faded quickly once
59,4,2,2,faded quickly once realized
60,4,2,2,quickly once realized things
61,4,2,2,once realized things weren't
62,4,2,2,realized things weren't actually
63,4,2,2,things weren't actually emergencies
64,4,2,2,weren't actually emergencies made
65,4,2,2,actually emergencies made wonder
66,4,2,2,emergencies made wonder valuing
67,4,2,2,made wonder valuing responsiveness
68,4,2,2,wonder valuing responsiveness actual
69,4,2,2,valuing responsiveness actual results
70,4,2,2,responsiveness actual results love
71,4,2,2,actual results love hear
72,4,2,2,results love hear others
73,4,2,2,love hear others manage
74,4,2,2,hear others manage boundary
75,4,2,2,others manage boundary between
76,4,2,2,manage boundary between availability
77,4,2,2,boundary between availability deep
78,4,2,2,between availability deep focus
79,4,2,2,availability deep focus tools
80,4,2,2,deep focus tools rituals
81,4,2,2,focus tools rituals help
82,4,2,2,tools rituals help signal
83,4,2,2,rituals help signal others
84,4,2,2,help signal others offline
85,4,2,2,space necessary deep work
86,4,2,2,working remotely past six
87,4,2,2,remotely past six months
88,4,2,2,i'd love hear works
89,4,2,2,i've heard good things
90,4,2,2,maintaining work life balance
91,4,2,2,past six months i'm
92,4,2,2,find myself checking emails
93,4,2,2,myself checking emails late
94,4,2,2,best budget mechanical keyboards
95,4,2,2,budget mechanical keyboards typing
96,4,1,1,recommendations good budget camera
97,4,1,1,good budget camera travel
98,4,1,1,budget camera travel everyone
99,4,1,1,camera travel everyone i'm
100,4,1,1,travel everyone i'm planning
