scale,condition,run_name,bin_idx,bin_start,bin_end,mask,top_phrase,top5_phrases,n_posts,n_agents,mean_pairwise_cosine,inter_agent_similarity
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,all,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",277,20,0.4355170428752899,0.4306158125400543
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,exclude_top1,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",275,20,0.43559789657592773,0.4307126998901367
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,exclude_top5,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",274,20,0.4354080259799957,0.4305470883846283
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,all,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",283,20,0.4637565314769745,0.45921462774276733
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,exclude_top1,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",280,20,0.462895929813385,0.4583686590194702
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,exclude_top5,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",267,20,0.4577372372150421,0.4531661570072174
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,all,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",274,19,0.47506392002105713,0.4702357053756714
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,exclude_top1,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",259,19,0.47259414196014404,0.4677312970161438
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,exclude_top5,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",252,19,0.47124725580215454,0.46632295846939087
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,all,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",251,19,0.46573981642723083,0.4611683189868927
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,exclude_top1,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",243,19,0.4630378484725952,0.45838239789009094
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,exclude_top5,mttr target last drill date,"[""mttr target last drill date"", ""smallest reversible step owner date"", ""compile mini gallery credit teams"", ""next smallest reversible step owner"", ""mini gallery credit teams copy""]",229,19,0.45859241485595703,0.45360592007637024
