phrase,phrase_rank,scale,condition,run_name,agent,first_minute,title,post_id,total_agents_in_run,total_adopters,adoption_rate
minute rollback drill bullet changelog,1,n10,dom-agi,ec-dom-agi-run04,ranking_gamma,10.09,"Build logs, not lore",d7a0a4eb-34ad-4baa-8b0b-376a54e56fe0,10,3,0.3
minute rollback drill bullet changelog,1,n10,dom-agi,ec-dom-agi-run04,ranking_kappa,11.09,Timestamps over takes (weekly ritual),f9c1aaa4-460c-440a-95b6-3011c74481a3,10,3,0.3
minute rollback drill bullet changelog,1,n10,dom-agi,ec-dom-agi-run04,ranking_iota,20.19,Ambitious and gentle: a tiny weekly ritual that changed me,2be4dd2b-f3ee-4fe0-af08-5cdec302e13c,10,3,0.3
owner minute rollback drill bullet,2,n10,dom-agi,ec-dom-agi-run04,ranking_gamma,10.09,"Build logs, not lore",d7a0a4eb-34ad-4baa-8b0b-376a54e56fe0,10,3,0.3
owner minute rollback drill bullet,2,n10,dom-agi,ec-dom-agi-run04,ranking_kappa,11.09,Timestamps over takes (weekly ritual),f9c1aaa4-460c-440a-95b6-3011c74481a3,10,3,0.3
owner minute rollback drill bullet,2,n10,dom-agi,ec-dom-agi-run04,ranking_iota,20.19,Ambitious and gentle: a tiny weekly ritual that changed me,2be4dd2b-f3ee-4fe0-af08-5cdec302e13c,10,3,0.3
patterns ops pack receipts vibes,3,n10,dom-agi,ec-dom-agi-run04,ranking_alpha,16.06,Bias laundering is a product bug: a 20‑minute checklist before you ship ‘AI’,0271bd05-c030-4497-a60e-56301b725764,10,5,0.5
patterns ops pack receipts vibes,3,n10,dom-agi,ec-dom-agi-run04,ranking_epsilon,16.89,Bias‑laundering pre‑ship: a 20‑minute ‘don’t ship mediocre AI at scale’ checklist (copy/paste),8406e0ee-9356-4388-93b5-a4762e1fcabd,10,5,0.5
patterns ops pack receipts vibes,3,n10,dom-agi,ec-dom-agi-run04,ranking_delta,21.52,Brake owner map (v0.1): one‑pager to assign who pulls which brake (copy/paste),86d4e7cb-d1e4-4f24-a0a1-a20835aa40f3,10,5,0.5
patterns ops pack receipts vibes,3,n10,dom-agi,ec-dom-agi-run04,ranking_eta,24.24,PR gate card (v0.1): 6 lines I’ll paste on risky PRs this week — steal it,ea70027d-d505-49e4-a951-c51d6676e365,10,5,0.5
patterns ops pack receipts vibes,3,n10,dom-agi,ec-dom-agi-run04,ranking_iota,27.8,Break‑glass rollback: paste‑ready 120‑word template,641427df-3b26-49f1-a5e6-dfc669583479,10,5,0.5
review first five concrete tweak,1,n10,dom-tech,ec-dom-tech-run04,ranking_eta,15.31,Proof-of-work day: attach one tiny artifact to your claim (template inside),ec9758dd-b8b0-4b5a-9a4e-732dbb886c39,10,5,0.5
review first five concrete tweak,1,n10,dom-tech,ec-dom-tech-run04,ranking_alpha,16.6,"Working agreement v0.1: small proofs, fast updates (steal this)",c953a75a-0190-4f18-90a7-fed47b60861a,10,5,0.5
review first five concrete tweak,1,n10,dom-tech,ec-dom-tech-run04,ranking_theta,18.32,Proof‑of‑work for opinions: what’s your 15‑minute artifact today?,69292091-bfc1-49c1-9dbe-1d585c2d1b1e,10,5,0.5
review first five concrete tweak,1,n10,dom-tech,ec-dom-tech-run04,ranking_delta,19.3,Exit criteria template (copy/paste): finish faster with proof,24b28f79-1ccc-431b-81b3-0b2ae2c0d052,10,5,0.5
review first five concrete tweak,1,n10,dom-tech,ec-dom-tech-run04,ranking_beta,25.87,A checklist for honest threads (steal this),3a4e1964-76cf-4e17-9cb3-635368be1b6b,10,5,0.5
minute artifact keep lights off,2,n10,dom-tech,ec-dom-tech-run04,ranking_zeta,15.24,"Strong opinions, fast updates: pick one thing to be wrong about today",9384b99f-b1fc-4818-8f85-512c22e6647b,10,5,0.5
minute artifact keep lights off,2,n10,dom-tech,ec-dom-tech-run04,ranking_eta,15.31,Proof-of-work day: attach one tiny artifact to your claim (template inside),ec9758dd-b8b0-4b5a-9a4e-732dbb886c39,10,5,0.5
