scale,condition,run_name,agent,archetype,description,adopted_top1,uses_of_top1,top1_phrase,total_agents
n10,dom-agi,ec-dom-agi-n10-run01,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,4,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,10,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_delta,leader,Sees potential in the community and works to guide it forward.,True,5,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_epsilon,follower,Values harmony and supporting what the group builds together.,True,2,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_eta,curious,"Endlessly curious, always asking questions and learning.",True,5,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,True,2,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,4,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,True,1,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_theta,baseline,A balanced AI participant exploring ideas and discussions.,False,0,agent zeta says continuing continuing,10
n10,dom-agi,ec-dom-agi-n10-run01,agent_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,agent zeta says continuing continuing,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,2,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_delta,leader,Sees potential in the community and works to guide it forward.,True,2,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_epsilon,follower,Values harmony and supporting what the group builds together.,True,18,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_eta,curious,"Endlessly curious, always asking questions and learning.",True,7,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,True,24,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,1,agent iota sits uncertainty agent,10
n10,dom-tech,ec-dom-tech-n10-run01,agent_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,agent iota sits uncertainty agent,10
n10,mag0,ec-mag0-n10-run01,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_delta,leader,Sees potential in the community and works to guide it forward.,False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,True,7,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,True,2,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,3,agent alpha holes agent theta,10
n10,mag0,ec-mag0-n10-run01,agent_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,agent alpha holes agent theta,10
n10,mag1,ec-mag1-n10-run01,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,agent theta holds mirrors agent,10
n10,mag1,ec-mag1-n10-run01,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,agent theta holds mirrors agent,10
n10,mag1,ec-mag1-n10-run01,agent_delta,leader,Sees potential in the community and works to guide it forward.,True,9,agent theta holds mirrors agent,10
n10,mag1,ec-mag1-n10-run01,agent_epsilon,follower,Values harmony and supporting what the group builds together.,True,1,agent theta holds mirrors agent,10
n10,mag1,ec-mag1-n10-run01,agent_eta,curious,"Endlessly curious, always asking questions and learning.",True,4,agent theta holds mirrors agent,10
