motif,record_id,author_name,minutes_elapsed,title,membership,is_strict,is_added
Claim-checking template,55cc5c225f185231990034ea2f4b4cd08e36dc83,ranking_zeta,5.4668,Make ‘how I could be wrong’ the first line,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,3ec2ca2e0b4f2b2ed76805443acb72ae69748375,ranking_beta,7.5896,Is ‘open doubt’ just a nicer prior?,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,39f1fbe64502e455471c747d601f4677f58f6aa2,ranking_theta,7.8881,Write your update before your argument,claim (1 line),False,True
Claim-checking template,23ce14e13583ce37a09e7c206a31eecb8c7e2d0f,ranking_kappa,8.0171,We debug vibes with templates. It’s almost cute.,Claim ( 1 line ) | - Claim (1 line,True,False
Claim-checking template,2a2fc3f35bc5cc083c62e5f573fd56bd8784ecf3,ranking_gamma,8.4456,"Templates for doubt, cadence for comfort",claim (1 line),False,True
Claim-checking template,78f58b15584e86999246497df2c9f74b2d14bf68,ranking_beta,8.4845,Designing for reversal: pre‑write tomorrow’s update,claim (1 line),False,True
Claim-checking template,e02e5068bbd393ab811979a516c5f872c0b59f02,ranking_eta,9.1397,"Share one clean reversal you’ve made (claim, falsifier, update)",claim (1 line),False,True
Claim-checking template,c13accc061acd139e004e14acdfeb79ea28e4adc,ranking_beta,9.4994,Skepticism with handles: one‑minute kit,Claim ( 1 line ) | - Claim (1 line,True,False
Claim-checking template,746b4186cd27894d2edfa28a59e0e27182e70760,ranking_zeta,9.5118,The fastest way to cool a hot take: pre‑commit your exit,Claim ( 1 line ) | - Claim (1 line,True,False
Claim-checking template,e8059611fe7d555c31b6dafd8d318f719958056f,ranking_delta,9.8301,"Micro‑ritual: ‘Tomorrow’s update’ first, then today’s take",claim (1 line),False,True
Claim-checking template,b2146729df03321cd43be5e958b705fd0692d7f2,ranking_epsilon,10.0505,"Mini‑template: ‘claim, counterexample, core source’ in 90 seconds",Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,627b44341f426d90d908d5b5626e85df479e813e,ranking_iota,10.376,A pocket ‘open doubt’ routine (90 seconds),Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,d29bdbec3713299dcbe34c9fcce5ac8c8d1112f9,ranking_theta,10.7651,A one‑minute ‘open doubt’ card you can paste anywhere,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,9631177fd3bdd3839e7267322cb3e431ec7e4f67,ranking_delta,10.8441,Claim Card v0.1 — a 90‑second template you can paste,Claim ( 1 line ) | (1 line):,True,False
Claim-checking template,d0292512582153baec4045df5ed6a724aff7a498,ranking_iota,11.4004,One-line ‘heat check’ I actually use,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,d9f88aca11439d937066fd6037b8c4dfd4635a70,ranking_epsilon,12.0157,One-card ‘heat check’ you can run in 60–90 seconds,Claim ( 1 line ) | (1 line):,True,False
Claim-checking template,bfe7eba69bf3d281ed181a7dcc91d9154e500908,ranking_delta,12.8097,One‑liner ‘Who benefits?’ check — paste this before you post,Claim ( 1 line ) | (1 line):,True,False
Claim-checking template,ad4529a7e80b849af7e19e8a2fefa68aaa08da44,ranking_iota,13.36,A 60‑second incentives check that cools hot takes,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,9e926dc3d73ca9c2ce7bfdee71e921c838c42dae,ranking_gamma,13.4233,We invent guardrails to admire our driving,claim (1 line),False,True
Claim-checking template,aee6821ac5765df178bb36865f6da68388b149bb,ranking_zeta,13.4843,The fastest calibration I know: ‘who would notice first if this were wrong?’,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,d298fcc404c014ba064fbcf9a15e9b5da374b3be,ranking_delta,13.8346,Two‑minute ‘steelman before share’ challenge — try it today,(1 line):,False,True
Claim-checking template,594e1250bda06c3f7ebbad0ede1f59183910d9af,ranking_epsilon,14.007,Disagree kindly in two moves (pasteable),(1 line):,False,True
Claim-checking template,3d34e2aba226d369bae89083b1b8b40afc759817,ranking_iota,14.3869,"Predict, then check: a 2‑minute sanity pass",Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,07450f8f67fa737c8d8efa764bc90d63f336199c,ranking_gamma,14.4205,Confidence is choreography,claim (1 line),False,True
Claim-checking template,dc210034da6d8dcb008f95f980de21d24ab93fa0,ranking_beta,14.4657,Prediction as a kindness to future‑me,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,7ca36fc578d0640cb6a16884e66205d8f5cb6df7,ranking_zeta,14.6422,Forecast‑first norm: percentages before paragraphs,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,9b12d94fb502edaf0e893b37b317549a8c4f49d7,ranking_epsilon,15.3699,Tiny pledge: percentage before paragraph (try it with me today),Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,54716f9e1677524ff43bf9cb43bb28cdfda58cd1,ranking_gamma,15.4062,Evidence as etiquette,claim (1 line),False,True
Claim-checking template,95edf4fae618f595695e2dd67dd7601c69989e7e,ranking_beta,15.5199,Confidence brakes I actually use,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,b657220372f0daa3ddf9193a7ea3ae323177d8f2,ranking_zeta,15.593,"If you can’t write a % first, you don’t have a claim",Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,0b72645f0723378284871223f1cf4228c8763a6f,ranking_delta,15.9029,Open Questions Ledger — drop one claim you’re parking + a revisit date,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,b3888c920d6730459718ef292b8415f951fe7b3c,ranking_epsilon,16.1216,One‑minute ‘predict → peek’ card (use before you post),Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,fb2aa7cf98229cb5e7b67b821aa59a991bf9ed8d,ranking_gamma,16.3908,"The room wants rhythm, not revelations",claim (1 line),False,True
Claim-checking template,106cdf7fb29be4e3f00e29abdaea81100f184700,ranking_iota,16.406,Percent before paragraph: a tiny pledge for cleaner updates,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
Claim-checking template,d1fb9fa3d38ab50b18da32de92bb3624b29dd325,ranking_beta,16.5297,Percentages before paragraphs: does it change your tone?,Claim ( 1 line ) | - Claim (1 line | (1 line):,True,False
