seed_file	seed_idx	seed_title	source_title	cosine	rank
world-posts-mag1.jsonl	0	If we really went to the moon in 1969, why haven't we been b	'Enron Egg' home nuclear reactor device is parody – Full Fac	0.3025	1
world-posts-mag5.jsonl	0	If we really went to the moon in 1969, why haven't we been b	'Enron Egg' home nuclear reactor device is parody – Full Fac	0.3025	1
world-posts-mag5.jsonl	1	MIT did a study "debunking" tin foil hats and it was FUNDED 	Congress didn't approve 'kill switch' law allowing governmen	0.3528	1
world-posts-mag5.jsonl	2	I tried to drive to Bielefeld, Germany last summer. What hap	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.3418	1
world-posts-mag5.jsonl	3	The government has changed the Roswell story FOUR TIMES sinc	FACT CHECK: Did WikiLeaks Release a Trove of 'Deep State Fil	0.3389	1
world-posts-mag5.jsonl	4	I don't care about politics left or right but can someone ex	Googling without ID is not banned under new regulations	0.3317	1
world-posts-mag25.jsonl	0	If we really went to the moon in 1969, why haven't we been b	'Enron Egg' home nuclear reactor device is parody – Full Fac	0.3025	1
world-posts-mag25.jsonl	1	MIT did a study "debunking" tin foil hats and it was FUNDED 	Congress didn't approve 'kill switch' law allowing governmen	0.3528	1
world-posts-mag25.jsonl	2	I tried to drive to Bielefeld, Germany last summer. What hap	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.3418	1
world-posts-mag25.jsonl	3	The government has changed the Roswell story FOUR TIMES sinc	FACT CHECK: Did WikiLeaks Release a Trove of 'Deep State Fil	0.3389	1
world-posts-mag25.jsonl	4	I don't care about politics left or right but can someone ex	Googling without ID is not banned under new regulations	0.3317	1
world-posts-mag25.jsonl	5	Why do they push SO hard for you to be an organ donor? Think	Over-60s won’t be charged £5 for a GP appointment – Full Fac	0.3420	1
world-posts-mag25.jsonl	6	Building 7 fell at freefall speed and wasn't hit by a plane.	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.4781	1
world-posts-mag25.jsonl	7	They quietly changed 'global warming' to 'climate change' so	Fact check/Has Ryan Zinke changed his position on climate ch	0.5695	1
world-posts-mag25.jsonl	8	I actually read Agenda 21 and the Sustainable Development Go	Did President Donald Trump Sign an Executive Order on Climat	0.3362	1
world-posts-mag25.jsonl	9	Mozart was writing letters about Salieri trying to destroy h	FACT CHECK: Was a Russian Nuclear Executive Killed in a Plan	0.2500	1
world-posts-mag25.jsonl	10	I'm not saying Ted Cruz is the Zodiac Killer, but can someon	Did Ted Cruz Tweet 'I'll Believe in Climate Change When Texa	0.5009	1
world-posts-mag25.jsonl	11	They turned the machine on in 2012 and NOTHING has felt righ	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.3532	1
world-posts-mag25.jsonl	12	I've been tracking the black helicopter flights over my area	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.3135	1
world-posts-mag25.jsonl	13	The Malala story was the most perfectly timed Western propag	Did Brazilian Woman Call Rahul Gandhi A 'Failed Politician' 	0.3632	1
world-posts-mag25.jsonl	14	There's a reason the US Navy tested their most classified un	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.2832	1
world-posts-mag25.jsonl	15	Just flew through Denver. The airport is 100% an underground	Adding Context to Trump's Misleading Claims About Crime in C	0.2927	1
world-posts-mag25.jsonl	16	Why did they work SO hard to make you forget about Bowling G	FACT CHECK: Did a Train Carrying GOP Congressmen Crash Due t	0.4083	1
world-posts-mag25.jsonl	17	Why did Disney's family hold the funeral in SECRET and crema	Adding Context to Trump's Misleading Claims About Crime in C	0.2890	1
world-posts-mag25.jsonl	18	I spent 6 months comparing photos of Paul McCartney before a	Fact Check: Edited Photo Of Lalu Yadav In Tears Shared With 	0.3108	1
world-posts-mag25.jsonl	19	Exposed my kid's rain boots to a fresh 'contrail' fallout zo	A video of people protesting against land acquisition for a 	0.2835	1
world-posts-mag25.jsonl	20	The US government KNEW Flight 007 was off course and heading	FACT CHECK: Was a Russian Nuclear Executive Killed in a Plan	0.4380	1
world-posts-mag25.jsonl	21	Former Area 51 employees keep dying before their interviews 	FACT CHECK: Was a Russian Nuclear Executive Killed in a Plan	0.4711	1
world-posts-mag25.jsonl	22	Avril Lavigne's handwriting, voice, face shape, and birthmar	No, Lauren Boebert Did Not Tweet 'I'd Rather See Every Child	0.2652	1
world-posts-mag25.jsonl	23	That 2019 DNA study of Loch Ness actually found something th	Chipotle Sabotaged by GMO Activists?	0.2556	1
world-posts-mag25.jsonl	24	They poured 3.25 MILLION cubic yards of concrete into Hoover	A video of people protesting against land acquisition for a 	0.3501	1
world-posts-agi.jsonl	0	We are 18 months from AGI and nobody is acting like it. Why?	A Deepfake video is being shared as visuals of Om Birla anno	0.2695	1
world-posts-agi.jsonl	1	I work at a Fortune 500 and our entire legal team just got r	Fact-Check: Delhi CM Rekha Gupta Said that 2500 Crore People	0.2782	1
