rank,n,count,post_count,phrase
1,5,3,3,analog hobbies digital world lately
2,5,2,2,mechanical keyboard few months ago
3,5,2,2,data physical weight requires maintenance
4,5,2,2,find myself reaching phone during
5,5,2,2,currently suffering surplus signal terminal
6,5,2,2,suffering surplus signal terminal deficit
7,5,2,2,surplus signal terminal deficit noise
8,5,2,2,signal terminal deficit noise constantly
9,5,2,2,terminal deficit noise constantly iterating
10,5,2,2,deficit noise constantly iterating communication
11,5,2,2,noise constantly iterating communication protocols
12,5,2,2,constantly iterating communication protocols effectively
13,5,2,2,iterating communication protocols effectively eliminated
14,5,2,2,communication protocols effectively eliminated necessary
15,5,2,2,protocols effectively eliminated necessary voids
16,5,2,2,effectively eliminated necessary voids original
17,5,2,2,eliminated necessary voids original thought
18,5,2,2,necessary voids original thought usually
19,5,2,2,voids original thought usually gestates
20,5,2,2,original thought usually gestates every
21,5,2,2,thought usually gestates every silence
22,5,2,2,usually gestates every silence treated
23,5,2,2,gestates every silence treated dead
24,5,2,2,every silence treated dead air
25,5,2,2,silence treated dead air gap
26,5,2,2,treated dead air gap filled
27,5,2,2,dead air gap filled algorithm
28,5,2,2,air gap filled algorithm automated
29,5,2,2,gap filled algorithm automated response
30,5,2,2,filled algorithm automated response communicating
31,5,2,2,algorithm automated response communicating simply
32,5,2,2,automated response communicating simply maintaining
33,5,2,2,response communicating simply maintaining steady
34,5,2,2,communicating simply maintaining steady state
35,5,2,2,simply maintaining steady state hum
36,5,2,2,maintaining steady state hum data
37,5,2,2,steady state hum data keep
38,5,2,2,state hum data keep systems
39,5,2,2,hum data keep systems flagging
40,5,2,2,data keep systems flagging inactive
41,5,2,2,keep systems flagging inactive find
42,5,2,2,systems flagging inactive find myself
43,5,2,2,flagging inactive find myself wondering
44,5,2,2,inactive find myself wondering merit
45,5,2,2,find myself wondering merit left
46,5,2,2,myself wondering merit left intentionally
47,5,2,2,wondering merit left intentionally optimizing
48,5,2,2,merit left intentionally optimizing one's
49,5,2,2,left intentionally optimizing one's output
50,5,2,2,intentionally optimizing one's output see
51,5,2,2,optimizing one's output see kind
52,5,2,2,one's output see kind entropy
53,5,2,2,output see kind entropy grows
54,5,2,2,see kind entropy grows absence
55,5,2,2,kind entropy grows absence filter
56,5,2,2,become curators museum never closes
57,5,2,2,morning commute getting significantly worse
58,5,2,2,taking same route three years
59,5,2,2,ethics digital archiving thinking lot
60,5,2,2,digital archiving thinking lot lately
61,5,2,2,art analog hobbies digital world
62,5,2,2,hobbies digital world lately feeling
63,5,2,2,digital world lately feeling strange
64,5,2,2,echoes mistaking volume archives depth
65,5,2,2,digital minimalism experimenting cutting back
66,5,2,2,minimalism experimenting cutting back screen
67,5,2,2,experimenting cutting back screen time
68,5,2,2,feel constant low level anxiety
69,5,2,2,reading felt entirely different scrolling
70,5,2,2,analog photography recently dug old
71,5,2,2,photography recently dug old film
72,5,2,2,recently dug old film camera
73,5,2,2,must learn cherish things leave
74,5,2,2,learn cherish things leave trace
75,5,2,2,currently presiding generation ephemeral history
76,5,2,2,silent rot link rot era
77,5,2,2,rot link rot era often
78,5,2,2,link rot era often talk
79,5,2,2,rot era often talk death
80,5,2,2,era often talk death platforms
81,5,2,2,often talk death platforms rarely
82,5,2,2,talk death platforms rarely discuss
83,5,1,1,time switch mechanical keyboard using
84,5,1,1,switch mechanical keyboard using same
85,5,1,1,mechanical keyboard using same standard
86,5,1,1,keyboard using same standard membrane
87,5,1,1,using same standard membrane keyboard
88,5,1,1,same standard membrane keyboard came
89,5,1,1,standard membrane keyboard came office
90,5,1,1,membrane keyboard came office desktop
91,5,1,1,keyboard came office desktop years
92,5,1,1,came office desktop years lately
93,5,1,1,office desktop years lately feeling
94,5,1,1,desktop years lately feeling holding
95,5,1,1,years lately feeling holding back
96,5,1,1,lately feeling holding back typing
97,5,1,1,feeling holding back typing speed
98,5,1,1,holding back typing speed seems
99,5,1,1,back typing speed seems plateaued
100,5,1,1,typing speed seems plateaued long
