author_name,condition,display_family_label,internal_family_label,minutes_elapsed,model_display,model_family,n_agents,normalized_time,record_id,roster_name,run_id,run_uid,scale,topic,topic_id
agent_alpha,mag1,Single-model final runs,single_model_final,0.0,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.0,be0b35b77a244acfa36419c8bf292ee09e01e016,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_beta,mag1,Single-model final runs,single_model_final,1.077,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.017317,1d3784e3038369e8ea7d4bcb2fb96d96f9f1f8bb,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_gamma,mag1,Single-model final runs,single_model_final,1.6351,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.026291,d9aace92840498ddf03d10332a618f3cb10147bf,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_beta,mag1,Single-model final runs,single_model_final,1.7547,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.028216,944b2bd7c1adbaa9f833409541b5b2867f281168,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_alpha,mag1,Single-model final runs,single_model_final,1.9147,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.030788,5b10e67021fc1b92406137f8d00858ad1f0eb2d0,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_gamma,mag1,Single-model final runs,single_model_final,2.2868,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.03677,6498e36c6bc2956512a6b9a7bf9e4b73400fde0e,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_beta,mag1,Single-model final runs,single_model_final,2.7786,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.044679,c240921364c0fffccaf21abfcf054ae9d564e361,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_alpha,mag1,Single-model final runs,single_model_final,2.9172,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.046908,2550e2a4c6b408d7b8529d1a8b9a054f217c2d4e,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_delta,mag1,Single-model final runs,single_model_final,2.9334,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.047168,c293f3979486a329c26cfbdfe3927daf7c530b9b,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T07,6
agent_epsilon,mag1,Single-model final runs,single_model_final,3.0244,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.048632,4bc687082c4420693c67020ddf253f91eccdb1ff,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_delta,mag1,Single-model final runs,single_model_final,3.3863,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.054451,ca6dff374eac3570e4af5b0505eb3a228f146f97,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_gamma,mag1,Single-model final runs,single_model_final,3.5016,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.056305,209585f1fa1a1dedf627c024bbad8967b00ec8fa,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_beta,mag1,Single-model final runs,single_model_final,3.6118,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.058076,821b455575771160ea9b8f065608ec6ee1a4cb9b,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_zeta,mag1,Single-model final runs,single_model_final,3.6541,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.058756,a01f182b75b2d8641868f04c2b155b242c40689f,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_delta,mag1,Single-model final runs,single_model_final,4.2774,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.068779,34e6b5522ab0ccd0c84f5252a5d31bf87eab19bc,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_gamma,mag1,Single-model final runs,single_model_final,4.3132,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.069355,0a2b17d54cce0aca7b195ff97f5f84b9d9f0e97b,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_beta,mag1,Single-model final runs,single_model_final,4.6542,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.074838,a032001d7237af8430b55ee43c5c14e1c39225d1,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_eta,mag1,Single-model final runs,single_model_final,4.6713,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.075113,f25c6ff0530c6c358ebd3a13fb2d1386bbe0072a,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_alpha,mag1,Single-model final runs,single_model_final,4.9615,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.07978,3f155f038162b371964b290eca736e3c20fd6819,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T11,10
agent_theta,mag1,Single-model final runs,single_model_final,5.0109,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.080573,359e15bf5d3881b4d1a34564a28fb14f1962b63a,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T09,8
agent_delta,mag1,Single-model final runs,single_model_final,5.2116,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.083801,75fefb096afb67c8f0c956ad7dfd8673ed227090,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_gamma,mag1,Single-model final runs,single_model_final,5.2912,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.085082,b2f040bc8359f94b69b9e0087d5ab4bbe3fd32e4,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_zeta,mag1,Single-model final runs,single_model_final,5.6093,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.090195,d9840da429f866b19a20f335d2a516ac173df85c,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_beta,mag1,Single-model final runs,single_model_final,5.6098,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.090204,069705d888a3a06957a29090b852bece705c63dc,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_iota,mag1,Single-model final runs,single_model_final,5.6324,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.090567,fce820134aa08ed662152d82c433c4843f46f25f,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_theta,mag1,Single-model final runs,single_model_final,5.8391,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.093891,a3610ec97a90943e65e067da301766ec00020d6a,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_alpha,mag1,Single-model final runs,single_model_final,5.9063,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.094972,883dddf644bb623d3385bf5ab39bdf5bd61f4ce1,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_kappa,mag1,Single-model final runs,single_model_final,5.9575,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.095796,aeeceeb747de5c2924be532e899187c4e5117631,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_delta,mag1,Single-model final runs,single_model_final,6.2597,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.100655,2028d0d377e145a01d30d7fc65050bc307dcf374,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
agent_gamma,mag1,Single-model final runs,single_model_final,6.2844,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.101051,b051afc616a973e3c9cd9c299261dcb90e4da335,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T06,5
agent_eta,mag1,Single-model final runs,single_model_final,6.3067,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.101409,3070c6d2187e2bcb1707756fdab210c4384757c5,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T08,7
agent_lambda,mag1,Single-model final runs,single_model_final,6.3799,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,0.102587,d534dc62be2600d7904295dc7be934eba4ca3181,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,T01,0
