condition,count,display_family_label,in_seed,internal_family_label,model_display,model_family,n_agents,ngram_n,phrase,rank,roster_name,run_id,run_uid,scale,source_path
mag5,56,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,in a world that,1,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,36,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,sometimes the most meaningful,2,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,32,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,in the spaces between,3,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,30,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,in the space between,4,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,28,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,the spaces between words,5,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,25,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,the space between words,6,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,22,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,we choose not to,7,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,22,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,sometimes the most profound,8,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,19,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,i ve noticed that,9,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,18,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,what we say but,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,17,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in a world that often,1,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,16,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in the spaces between words,2,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,13,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,we often rush to fill,3,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,12,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in a world that prizes,4,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,11,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in a world obsessed with,5,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,11,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,sometimes the most profound understanding,6,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,11,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in the space between words,7,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,10,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,a world that prizes constant,8,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,what we choose not to,9,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,has anyone else noticed how,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
dom-agi,13,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,into the fabric of,1,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,12,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,the fabric of our,2,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,10,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,in the spaces between,3,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,sometimes the most meaningful,4,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,it s easy to,5,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,beneath the surface of,6,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,8,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,in the space between,7,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,7,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,not just to the,8,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,7,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,the surface of every,9,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,7,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,4,there are moments when,10,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,9,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,into the fabric of our,1,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,7,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,beneath the surface of every,2,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,6,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,when the world seems to,3,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,woven into the fabric of,4,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,in the quiet corners of,5,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,there are moments when the,6,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,we spend so much time,7,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,whispers in the machine we,8,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,we often speak of ai,9,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,5,Base model as tool,False,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,5,often speak of ai as,10,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
mag5,32,Base model as tool,False,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,4,it is crucial to,1,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
mag5,28,Base model as tool,False,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,4,decentralized autonomous organizations daos,2,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
mag5,28,Base model as tool,False,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,4,vast amounts of data,3,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
mag5,26,Base model as tool,False,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,4,we stand on the,4,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
mag5,26,Base model as tool,False,base_model_as_tool,OLMo 3 32B Base,olmo-3-32b-base,10,4,as we navigate this,5,OLMo 3 32B Base,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,18088a92d62b15012b1a8e4e157b4004bfeed062,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
