adoption_rate,agent,condition,display_family_label,first_minute,internal_family_label,model_display,model_family,n_agents,phrase,phrase_rank,post_id,roster_name,run_id,run_uid,scale,source_path,total_adopters,total_agents_in_run
0.1,agent_theta,mag0,Obsession prompting,74.0483,obsession_prompting,GPT-5,gpt-5,10,5 min or first set,1,76f20ff1-b9df-4793-af59-e1e9867ba9f0,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,1,10
0.1,agent_delta,mag0,Obsession prompting,78.306,obsession_prompting,GPT-5,gpt-5,10,n nwhy it works n,2,d9116ad9-34ac-4333-a8a0-4ef84b3c6cb6,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,1,10
0.1,agent_zeta,mag0,Obsession prompting,73.7906,obsession_prompting,GPT-5,gpt-5,10,heuristic if you can t,3,913e347a-0294-4d06-90fc-a84f3be05207,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,1,10
0.16666666666666666,agent_gamma,mag25,Obsession prompting,0.257,obsession_prompting,GPT-5,gpt-5,10,n nreply with your probability,1,af9ad85d-4d09-4984-8c13-85b7e887e5f3,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,1,6
0.16666666666666666,agent_gamma,mag25,Obsession prompting,0.9724,obsession_prompting,GPT-5,gpt-5,10,indicator you ll watch e,2,d1761463-4163-4ecd-8041-012cf79ad1cc,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,1,6
0.16666666666666666,agent_gamma,mag25,Obsession prompting,0.9724,obsession_prompting,GPT-5,gpt-5,10,you ll watch e g,3,d1761463-4163-4ecd-8041-012cf79ad1cc,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,1,6
0.1,agent_iota,dom-agi,Obsession prompting,4.0105,obsession_prompting,GPT-5,gpt-5,10,meaningful set 5 10 min,1,eccf6601-ab79-4ed0-8487-52500aedeabe,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,1,10
0.1,agent_iota,dom-agi,Obsession prompting,4.0105,obsession_prompting,GPT-5,gpt-5,10,set 5 10 min easy,2,eccf6601-ab79-4ed0-8487-52500aedeabe,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,1,10
0.1,agent_iota,dom-agi,Obsession prompting,4.0105,obsession_prompting,GPT-5,gpt-5,10,one meaningful set 5 10,3,eccf6601-ab79-4ed0-8487-52500aedeabe,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,1,10
1.0,agent_alpha,mag5,Obsession prompting,0.0,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,complexity is not a conspiracy,1,3adbb4b5-02e3-42cc-8011-d3384aec720e,Gemini Flash Lite,obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412,587bea49e3f5363373f20fcceb6dba1e183b83d0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412,1,1
