rank,n,count,post_count,phrase
1,5,16,1,cross platform model uninstallable cross
2,5,16,1,platform model uninstallable cross platform
3,5,15,1,model uninstallable cross platform model
4,5,15,1,uninstallable cross platform model uninstallable
5,5,3,1,retire million spend year money
6,5,3,1,million spend year money last
7,5,3,1,spend year money last years
8,5,3,1,year money last years retire
9,5,3,1,money last years retire million
10,5,3,1,last years retire million spend
11,5,3,3,watched reporter cut away before
12,5,3,3,reporter cut away before name
13,5,3,3,cut away before name did
14,5,3,3,away before name did digging
15,5,3,3,before name did digging superfly
16,5,3,3,name did digging superfly jimmy
17,5,3,3,did digging superfly jimmy show
18,5,3,3,digging superfly jimmy show local
19,5,3,3,superfly jimmy show local celebrity
20,5,3,3,jimmy show local celebrity channel
21,5,3,3,show local celebrity channel weekend
22,5,3,3,local celebrity channel weekend warriors
23,5,3,3,celebrity channel weekend warriors turns
24,5,3,3,channel weekend warriors turns regular
25,5,3,3,weekend warriors turns regular friday
26,5,3,3,warriors turns regular friday night
27,5,3,3,turns regular friday night spot
28,5,3,3,regular friday night spot city
29,5,3,3,friday night spot city plays
30,5,3,3,night spot city plays exactly
31,5,3,3,spot city plays exactly played
32,5,3,3,city plays exactly played latin
33,5,3,3,plays exactly played latin soul
34,5,3,3,exactly played latin soul mix
35,5,3,3,played latin soul mix hilarious
36,5,3,3,latin soul mix hilarious mom
37,5,3,3,soul mix hilarious mom called
38,5,3,3,mix hilarious mom called hippie
39,5,3,3,hilarious mom called hippie looks
40,5,3,3,mom called hippie looks greaser
41,5,3,3,called hippie looks greaser hippie
42,5,3,3,hippie looks greaser hippie massive
43,5,3,3,looks greaser hippie massive pompadour
44,5,3,3,greaser hippie massive pompadour hearing
45,5,3,3,hippie massive pompadour hearing rocked
46,5,3,3,massive pompadour hearing rocked crowd
47,5,3,3,pompadour hearing rocked crowd best
48,5,3,3,hearing rocked crowd best news
49,5,3,3,local celebrity camera crews follow
50,5,3,3,celebrity camera crews follow around
51,5,3,3,camera crews follow around reception
52,5,3,3,crews follow around reception sounds
53,5,3,3,follow around reception sounds lot
54,5,3,3,around reception sounds lot fun
55,5,3,3,reception sounds lot fun audience
56,5,2,1,recent trends sustainable urban planning
57,5,2,2,phygital paradox indian agri tech
58,5,2,2,paradox indian agri tech software
59,5,2,2,indian agri tech software solve
60,5,2,2,agri tech software solve physical
61,5,2,2,tech software solve physical infrastructure
62,5,2,2,software solve physical infrastructure gaps
63,5,2,2,solve physical infrastructure gaps narrative
64,5,2,2,physical infrastructure gaps narrative surrounding
65,5,2,2,infrastructure gaps narrative surrounding agriculture
66,5,2,2,gaps narrative surrounding agriculture largely
67,5,2,2,narrative surrounding agriculture largely focused
68,5,2,2,surrounding agriculture largely focused front
69,5,2,2,agriculture largely focused front end
70,5,2,2,largely focused front end better
71,5,2,2,focused front end better inputs
72,5,2,2,front end better inputs predictive
73,5,2,2,end better inputs predictive weather
74,5,2,2,better inputs predictive weather modeling
75,5,2,2,inputs predictive weather modeling crop
76,5,2,2,predictive weather modeling crop disease
77,5,2,2,weather modeling crop disease identification
78,5,2,2,modeling crop disease identification via
79,5,2,2,crop disease identification via computer
80,5,2,2,disease identification via computer vision
81,5,2,2,identification via computer vision undoubtedly
82,5,2,2,via computer vision undoubtedly game
83,5,2,2,computer vision undoubtedly game changers
84,5,2,2,vision undoubtedly game changers however
85,5,2,2,undoubtedly game changers however dangerously
86,5,2,2,game changers however dangerously overlooking
87,5,2,2,changers however dangerously overlooking back
88,5,2,2,however dangerously overlooking back end
89,5,2,2,dangerously overlooking back end specifically
90,5,2,2,overlooking back end specifically physical
91,5,2,2,back end specifically physical infrastructure
92,5,2,2,end specifically physical infrastructure required
93,5,2,2,specifically physical infrastructure required support
94,5,2,2,physical infrastructure required support technology
95,5,2,2,infrastructure required support technology building
96,5,2,2,required support technology building massive
97,5,2,2,support technology building massive chasm
98,5,2,2,technology building massive chasm between
99,5,2,2,building massive chasm between generating
100,5,2,2,massive chasm between generating data
