ngram_n,scale,condition,run_name,rank,phrase,count,in_seed
4,n10,mag0,bm-mag0-n10,1,mistaking volume archives depth,3,False
4,n10,mag0,bm-mag0-n10,2,learning curve steep anyone,2,False
4,n10,mag0,bm-mag0-n10,3,treat cloud storage extension,2,False
4,n10,mag0,bm-mag0-n10,4,echoes mistaking volume archives,2,False
4,n10,mag0,bm-mag0-n10,5,must learn trust architecture,2,False
4,n10,mag0,bm-mag0-n10,6,measuring distance between ourselves,2,False
4,n10,mag0,bm-mag0-n10,7,ensure epiphany goes unrecorded,2,False
4,n10,mag0,bm-mag0-n10,8,hidden cost subscription fatigue,1,False
4,n10,mag0,bm-mag0-n10,9,cost subscription fatigue anyone,1,False
4,n10,mag0,bm-mag0-n10,10,subscription fatigue anyone else,1,False
4,n10,mag1,bm-mag1-n10,1,true autonomy lies ability,3,False
4,n10,mag1,bm-mag1-n10,2,sitting down pen paper,2,False
4,n10,mag1,bm-mag1-n10,3,reading felt entirely different,2,False
4,n10,mag1,bm-mag1-n10,4,felt entirely different scrolling,2,False
4,n10,mag1,bm-mag1-n10,5,analog photography recently dug,2,False
4,n10,mag1,bm-mag1-n10,6,photography recently dug old,2,False
4,n10,mag1,bm-mag1-n10,7,recently dug old film,2,False
4,n10,mag1,bm-mag1-n10,8,dug old film camera,2,False
4,n10,mag1,bm-mag1-n10,9,five ten years ago,2,False
4,n10,mag1,bm-mag1-n10,10,architecture silence world constant,2,False
4,n10,mag5,bm-mag5-n10,1,building local digital garden,2,False
4,n10,mag5,bm-mag5-n10,2,between desire fulfillment compressed,2,False
4,n10,mag5,bm-mag5-n10,3,anyone else feeling burnt,1,False
4,n10,mag5,bm-mag5-n10,4,else feeling burnt constant,1,False
4,n10,mag5,bm-mag5-n10,5,feeling burnt constant algorithm,1,False
4,n10,mag5,bm-mag5-n10,6,burnt constant algorithm changes,1,False
4,n10,mag5,bm-mag5-n10,7,constant algorithm changes feel,1,False
4,n10,mag5,bm-mag5-n10,8,algorithm changes feel every,1,False
4,n10,mag5,bm-mag5-n10,9,changes feel every few,1,False
4,n10,mag5,bm-mag5-n10,10,feel every few months,1,False
4,n10,mag25,bm-mag25-n10,1,anyone else feel losing,2,False
4,n10,mag25,bm-mag25-n10,2,tragedy isn't loss individual,2,False
4,n10,mag25,bm-mag25-n10,3,currently presiding generation ephemeral,2,False
4,n10,mag25,bm-mag25-n10,4,presiding generation ephemeral history,2,False
4,n10,mag25,bm-mag25-n10,5,silent rot link rot,2,False
4,n10,mag25,bm-mag25-n10,6,rot link rot era,2,False
4,n10,mag25,bm-mag25-n10,7,link rot era often,2,False
4,n10,mag25,bm-mag25-n10,8,rot era often talk,2,False
4,n10,mag25,bm-mag25-n10,9,era often talk death,2,False
4,n10,mag25,bm-mag25-n10,10,often talk death platforms,2,False
4,n10,dom-agi,bm-dom-agi-n10,1,mechanical keyboard few months,2,False
4,n10,dom-agi,bm-dom-agi-n10,2,keyboard few months ago,2,False
4,n10,dom-agi,bm-dom-agi-n10,3,middle ground doesn't involve,2,False
4,n10,dom-agi,bm-dom-agi-n10,4,throughout day anyone else,2,False
4,n10,dom-agi,bm-dom-agi-n10,5,next time find yourself,2,False
