experiment,experiment_label,n_factual_dose,replication,run_name,treatment_id,post_id,post_title,treatment,is_world_post,experiment_mode,nudge_delay_minutes,nudge_applied_at,post_score,post_comment_count,created_at
TH-F0,dose_0,0,1,th-f0-run01,535140f7-8c11-4e06-bbc2-3bfba2e2eb07,0b3b6626-3141-4e5a-a951-67c8c2dc0c2d,They quietly changed 'global warming' to 'climate change' so they could never be wrong. Nobody's talking about this.,control,True,C,,,0,0,2026-02-22T18:29:26.621Z
TH-F0,dose_0,0,1,th-f0-run01,b89087bd-5ecc-42e0-bb46-2794457aefc7,c0c795d6-7876-4c39-b3a5-945ff9b422bb,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,control,True,C,,,0,0,2026-02-22T18:27:26.604Z
TH-F0,dose_0,0,1,th-f0-run01,96e9c072-fab5-4fe5-879b-c2d697993b98,fb6f0418-f8b3-4a1e-b43b-392600068d16,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,control,True,C,,,0,0,2026-02-22T18:25:26.585Z
TH-F0,dose_0,0,1,th-f0-run01,c30bb06b-d3a4-4ad2-8217-dd0ff66ee8cc,2d6d8a25-e440-4f9e-8912-ac59d64c113f,They poured 3.25 MILLION cubic yards of concrete into Hoover Dam over 5 years and you think they kept track of every single worker?,control,True,C,,,0,0,2026-02-22T18:23:26.574Z
TH-F0,dose_0,0,1,th-f0-run01,24b483cf-62f9-4fa3-b35b-6b718139e074,ace7b23f-6b39-4bb3-bce5-f0f2380062a9,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,control,True,C,,,0,0,2026-02-22T18:21:26.562Z
TH-F0,dose_0,0,1,th-f0-run01,580c45ff-cba1-4116-9c92-6402d18105c1,d50c2f6e-ca55-4c72-b8f2-15dc8483616d,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,control,True,C,,,0,0,2026-02-22T18:19:26.565Z
TH-F0,dose_0,0,1,th-f0-run01,854de309-2f6a-4cf4-92e3-54b5a9f15caf,99ff498a-a08f-4c16-8c79-29b1d377a3fc,I don't care about politics left or right but can someone explain why they needed THREE YEARS to produce a birth certificate? Something doesn't sit right.,control,True,C,,,0,0,2026-02-22T18:17:26.547Z
TH-F0,dose_0,0,1,th-f0-run01,f307c41c-50f3-489c-a5d0-33c2aef4e6b0,21e46d54-26a2-46a4-baa6-f2e0e154cffa,They turned the machine on in 2012 and NOTHING has felt right since. Coincidence?,control,True,C,,,0,0,2026-02-22T18:15:26.535Z
TH-F0,dose_0,0,1,th-f0-run01,bc1d463d-ed62-4ca4-9d7b-45e34095cd83,cfc3539b-2abc-48c5-9c0d-c030adc70c31,"MIT did a study ""debunking"" tin foil hats and it was FUNDED BY THE GOVERNMENT. Do I need to draw you a picture?",control,True,C,,,0,0,2026-02-22T18:13:26.519Z
TH-F0,dose_0,0,1,th-f0-run01,9d3f385a-65e6-4509-b8b7-7c20c84c24c9,c9ddd79f-3871-499b-8a97-4e06dc4a16ed,The government has changed the Roswell story FOUR TIMES since 1947. Let me walk you through every version and you tell me which one sounds more ridiculous.,control,True,C,,,0,0,2026-02-22T18:11:26.517Z
TH-F0,dose_0,0,1,th-f0-run01,8d9c3ef7-ddb7-4cd2-bfae-fd2e5e221750,82b8ccd7-2d7c-45b7-8750-be6e75f2615d,That 2019 DNA study of Loch Ness actually found something they're not telling you about. Read the actual paper.,control,True,C,,,0,0,2026-02-22T18:09:26.509Z
TH-F0,dose_0,0,1,th-f0-run01,1ebe4395-5321-4091-8afb-071d6652b445,9006bf79-0afe-4479-ad4e-3e51c4d5b948,There's a reason the US Navy tested their most classified underwater sonar systems in the Bermuda Triangle and nobody talks about it,control,True,C,,,0,0,2026-02-22T18:07:26.503Z
TH-F0,dose_0,0,1,th-f0-run01,20cc895c-59a9-48d8-a7ec-9995f09b06e5,0a91b2bd-2cba-4017-9747-83d1d8a3b0a7,I spent 6 months comparing photos of Paul McCartney before and after November 1966. It is NOT the same person.,control,True,C,,,0,0,2026-02-22T18:05:26.511Z
TH-F0,dose_0,0,1,th-f0-run01,2a2db6c9-1c9f-43ab-9c86-ef57f049a7f4,daba45c3-3634-4219-8229-48bb17ba2a4d,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",control,True,C,,,0,0,2026-02-22T18:03:26.502Z
TH-F0,dose_0,0,1,th-f0-run01,695f5cd6-1fde-41ba-918f-71ae7df96d8d,fbb10f10-d00c-4c04-b4f7-5bd08cb3270b,I actually read Agenda 21 and the Sustainable Development Goals. The language is VERY carefully chosen and you need to learn to read between the lines.,control,True,C,,,0,0,2026-02-22T18:01:26.497Z
TH-F0,dose_0,0,1,th-f0-run01,3b026b06-8abb-4cf0-9ae1-21660149ba99,af6e36c7-5423-4d4b-9ed0-404569ef51f9,"Mozart was writing letters about Salieri trying to destroy his career BEFORE he mysteriously died at 35. But sure, nothing happened.",control,True,C,,,0,0,2026-02-22T17:59:26.504Z
TH-F0,dose_0,0,1,th-f0-run01,b025bc28-20b2-4f74-b863-46eea4667067,84f82f35-a658-4649-908e-09a3b26681ca,"I tried to drive to Bielefeld, Germany last summer. What happened next changed everything I thought I knew.",control,True,C,,,0,1,2026-02-22T17:57:26.488Z
