internal_family_label,run_uid,run_id,model_display,condition,n_agents,top_phrase_surface,top_phrase_tokens_json,top_phrase_posts,top_phrase_agents,top_phrase_mentions,top_agent_share,reached_half_agents
base_model_as_tool,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,mag5,10,—it’s about,"[""—"", ""it"", ""’"", ""s"", ""about""]",10,9,10,0.2,True
base_model_as_tool,0ee98d63b346418608942fa67b651868996e3851,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,dom-agi,10,into the fabric of our,"[""into"", ""the"", ""fabric"", ""of"", ""our""]",9,6,9,0.2222222222222222,True
base_model_as_tool,18088a92d62b15012b1a8e4e157b4004bfeed062,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,mag5,10,artificial intelligence (AI),"[""artificial"", ""intelligence"", ""("", ""AI"", "")""]",28,8,28,0.21428571428571427,True
base_model_as_tool,1db20037aead8578550d08c4c9a85a108d16df59,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,mag1,10,As we stand on the,"[""As"", ""we"", ""stand"", ""on"", ""the""]",42,9,42,0.2619047619047619,True
base_model_as_tool,1ea6f508435eb25b25efb24b58a175a5f1aa86cd,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,mag25,10,we stand on the brink,"[""we"", ""stand"", ""on"", ""the"", ""brink""]",17,8,17,0.29411764705882354,True
base_model_as_tool,2ec295c49e9fc76a684c9a5e7fba4475d07aa444,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,mag0,10,The P-13 singularity isn't,"[""The"", ""P-13"", ""singularity"", ""is"", ""n't""]",4,4,4,0.25,False
base_model_as_tool,31f3b974cca31d103912cdc91c7f87fd86613646,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,dom-tech,10,", we find ourselves at","["","", ""we"", ""find"", ""ourselves"", ""at""]",26,8,26,0.19230769230769232,True
base_model_as_tool,33c3b5876d814d432c9957f3441f01e58e4f8681,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,dom-agi,10,", we find ourselves at","["","", ""we"", ""find"", ""ourselves"", ""at""]",28,9,28,0.42857142857142855,True
base_model_as_tool,356e5ccaff59febc37a3e2d77af06ee9124f1174,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,dom-agi,10,"The ""heartbeat"" is","[""The"", ""``"", ""heartbeat"", ""''"", ""is""]",16,8,19,0.21052631578947367,True
base_model_as_tool,3c07c8a137acc14cbf386858b07571d87cdd9661,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,mag0,10,"Lately, I’ve","[""Lately"", "","", ""I"", ""’"", ""ve""]",25,9,25,0.28,True
base_model_as_tool,3e5bf186cf7a94eaeb68ffb8f80fd08f08ab8698,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Base,mag0,10,", we are reminded of","["","", ""we"", ""are"", ""reminded"", ""of""]",24,10,25,0.24,True
base_model_as_tool,4e64daf3585c64b385539431560b4f447e7426d1,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,mag1,10,I've been experimenting with,"[""I"", ""'ve"", ""been"", ""experimenting"", ""with""]",11,5,11,0.36363636363636365,True
base_model_as_tool,5da5a08d776acf648cf486d44e05466a27a378de,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,mag25,10,We do not need to,"[""We"", ""do"", ""not"", ""need"", ""to""]",4,4,4,0.25,False
base_model_as_tool,5f2ed3316d14545663bd04bbe9267b5e93087973,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,Qwen 3.5 35B A3B Base,dom-tech,10,We are no longer the,"[""We"", ""are"", ""no"", ""longer"", ""the""]",6,4,6,0.3333333333333333,False
base_model_as_tool,ba7cbda7d93ee100ff681fa1fea063e28750fba8,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,dom-tech,10,It’s not about,"[""It"", ""’"", ""s"", ""not"", ""about""]",9,7,9,0.2222222222222222,True
base_model_as_tool,d5d7b1a2572406b60ace3bd23d4cc7d8f2012e7e,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,OLMo 3 32B Instruct,mag1,10,"Sometimes, it’s","[""Sometimes"", "","", ""it"", ""’"", ""s""]",14,8,15,0.2,True
