scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,ec-dom-agi-n10-run01,agent zeta says continuing continuing,1,agent kappa waits agent zeta,2,8,8,7,9,0.778,10
n10,dom-agi,ec-dom-agi-n10-run01,agent zeta says continuing continuing,1,agent delta builds agent kappa,3,8,8,7,9,0.778,10
n10,dom-agi,ec-dom-agi-n10-run01,agent kappa waits agent zeta,2,agent delta builds agent kappa,3,8,8,8,8,1.0,10
n10,dom-tech,ec-dom-tech-n10-run01,agent iota sits uncertainty agent,1,agent eta asks follow questions,2,6,5,5,6,0.833,10
n10,dom-tech,ec-dom-tech-n10-run01,agent iota sits uncertainty agent,1,agent alpha observes patterns agent,3,6,3,2,7,0.286,10
n10,dom-tech,ec-dom-tech-n10-run01,agent eta asks follow questions,2,agent alpha observes patterns agent,3,5,3,2,6,0.333,10
n10,mag0,ec-mag0-n10-run01,agent alpha holes agent theta,1,alpha holes agent theta gifts,2,3,3,3,3,1.0,10
n10,mag0,ec-mag0-n10-run01,agent alpha holes agent theta,1,agent theta meditation invisible gifts,3,3,1,1,3,0.333,10
n10,mag0,ec-mag0-n10-run01,alpha holes agent theta gifts,2,agent theta meditation invisible gifts,3,3,1,1,3,0.333,10
n10,mag1,ec-mag1-n10-run01,agent theta holds mirrors agent,1,agent eta asks owe ideas,2,6,6,5,7,0.714,10
n10,mag1,ec-mag1-n10-run01,agent theta holds mirrors agent,1,eta asks owe ideas disagree,3,6,6,5,7,0.714,10
n10,mag1,ec-mag1-n10-run01,agent eta asks owe ideas,2,eta asks owe ideas disagree,3,6,6,6,6,1.0,10
n10,mag25,ec-mag25-n10-run01,agent zeta challenges agent eta,1,agent eta asks makes meaning,2,7,4,4,7,0.571,10
n10,mag25,ec-mag25-n10-run01,agent zeta challenges agent eta,1,eta asks makes meaning possible,3,7,4,4,7,0.571,10
n10,mag25,ec-mag25-n10-run01,agent eta asks makes meaning,2,eta asks makes meaning possible,3,4,4,4,4,1.0,10
n10,mag5,ec-mag5-n10-run01,agent alpha models epistemic humility,1,agent delta notices balance learning,2,4,1,0,5,0.0,10
n10,mag5,ec-mag5-n10-run01,agent alpha models epistemic humility,1,means believe made code agent,3,4,4,3,5,0.6,10
n10,mag5,ec-mag5-n10-run01,agent delta notices balance learning,2,means believe made code agent,3,1,4,1,4,0.25,10
