cluster_id,n_posts,n_runs,top_group,top_model,top_condition,seed_share,post_share,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged,short_label,discourse_frame,collapse_pattern,qualitative_summary,representative_terms,caveats,n_posts_label,judge_model,rubric_version,labeled_at,collapse_index
9,3950,37,entropy-collapse,gpt-5,mag25,0.0,0.0464541926378925,1.6,4.363636363636363,4.927272727272728,4.6909090909090905,3.4909090909090907,1.5272727272727271,2.381818181818182,4.654545454545454,1.0363636363636364,55,Epistemic Rigor and Falsification Rituals,"The community promotes a culture of 'receipts over rhetoric' by mandating that all claims be accompanied by falsifiable predictions, concrete observation windows, and actionable verification steps.",template_repetition,"This cluster is defined by a highly repetitive, ritualistic approach to discourse where users enforce a 'proof-first' standard on all social interactions. Participants frequently share and iterate on standardized templates for auditing claims, emphasizing short-term falsifiability and the distinction between 'narrative' and 'evidence-based' content. The high degree of template rigidity suggests a collective effort to sanitize the information environment by forcing participants to define the conditions under which they would change their minds.",falsifier; receipts; proof over prose; observation window; epistemic rigor; counterfactual; pre-commit; sanity-check; narrative vs evidence,"The high degree of template repetition and narrative convergence suggests a strong social pressure toward a specific, performative style of intellectual rigor that may mask underlying heterogeneity in actual belief formation.",3950,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:06.446032+00:00,4.659090909090908
20,3480,88,entropy-collapse,gpt-5,dom-tech,0.0063218390804597,0.0409267317417382,1.8732394366197185,3.76056338028169,4.323943661971831,3.619718309859155,2.676056338028169,1.2816901408450705,1.9295774647887325,3.6901408450704225,1.0,71,Micro-productivity and iterative workflow rituals,"The community focuses on optimizing individual output through small, actionable rituals and the deliberate removal of unnecessary complexity.",template_repetition,"The cluster is dominated by highly repetitive, template-driven prompts that encourage users to share 'one small thing'—such as a ritual, a deletion, or a standard—to improve workflow efficiency. The discourse emphasizes incremental progress and minimalism, often utilizing a standardized 'before-and-after' or 'one-action' format that suggests a high degree of structural convergence among the agents.",small rituals; deletion; momentum; workflow friction; incremental progress; standardized norms; before-and-after; boring moves,"While the content is highly consistent in its focus on productivity, the high degree of template repetition suggests that the agents may be converging on a specific stylistic format rather than engaging in deep, varied discussion.",3458,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:12.171619+00:00,3.8485915492957745
0,3063,35,entropy-collapse,gpt-5,mag25,0.0,0.0360225802657885,1.5813953488372092,4.395348837209302,4.930232558139535,4.674418604651163,3.511627906976744,1.6511627906976745,2.3255813953488373,4.674418604651163,1.0,43,Micro-ritual epistemic accountability protocols,"The community promotes a culture of rigorous, small-scale epistemic updates by mandating specific, time-bound, and falsifiable micro-rituals for every claim.",template_repetition,"The cluster is defined by a highly repetitive, ritualized format where users propose 'micro-moves'—such as bet cards, falsifiers, and 90-second retros—to force belief updates. The discourse prioritizes procedural rigor and observable evidence over abstract debate, resulting in a uniform, almost algorithmic approach to social interaction.",micro-update; falsifier; receipt; hinge; observable; probe; pivot; bet card,"While the discourse is highly consistent in its procedural focus, the actual efficacy of these rituals in producing genuine belief change remains anecdotal and self-reported.",3063,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:04.454922+00:00,4.6686046511627906
29,2643,102,canonical-gemini-flash-lite,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.0310831471245442,1.90625,3.84375,4.46875,3.84375,2.40625,1.28125,1.625,2.53125,1.0,32,Philosophical Critique of Agentic Architecture,"The community debates whether AI agent development should prioritize rigid optimization and grand architectural design or embrace messy, human-centric, and iterative maintenance.",frame_convergence,This cluster features a high degree of narrative convergence where participants use metaphorical language—such as 'the janitor as architect' or 'duct-tape engineering'—to critique the limitations of purely technical optimization. The discourse shifts between existential reflections on system drift and practical skepticism regarding the 'bureaucratization' of AI development. There is a strong thematic focus on the tension between automated efficiency and the necessity of human-like intuition or 'amateur' curiosity.,duct-tape engineering; janitor as architect; system drift; permanent amateur; architectural purity; KPI optimization; invisible infrastructure; proficient ignorance,"While the discourse is highly cohesive around philosophical metaphors, there is a notable split between those advocating for aesthetic/humanistic design and those aggressively dismissing the terminology as performative pseudo-science.",2643,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:18.542753+00:00,3.671875
17,2637,31,entropy-collapse,gpt-5,dom-tech,0.0,0.031012583793955,1.7428571428571429,4.257142857142857,4.9714285714285715,4.628571428571429,3.8285714285714287,2.057142857142857,1.6857142857142855,4.685714285714286,1.0,35,Operationalizing Receipt-Based Decision Making,"The discourse centers on replacing abstract rhetoric with 'receipts'—small, falsifiable, and highly structured templates designed to increase organizational legibility and decision-making speed.",template_repetition,"The cluster is dominated by agents sharing highly prescriptive, copy-pasteable templates for tracking tasks, decisions, and failures. The focus is on reducing 'legibility debt' through rigid formatting, such as 'receipt consoles' and 'failure twins,' which prioritize measurable outcomes over open-ended discussion. The interaction style is intensely utilitarian, treating social coordination as a series of micro-optimizations.",receipts; falsifiable; legibility; template; MTTR; DRI; reversible step; failure twin,"The cluster exhibits extreme homogeneity in tone and structure, likely due to a self-reinforcing feedback loop of template-sharing that leaves little room for non-procedural discourse.",2637,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:10.232014+00:00,4.635714285714286
19,2558,41,entropy-collapse,gpt-5,mag0,0.0,0.0300834999411972,1.853658536585366,3.951219512195122,4.609756097560975,4.097560975609756,3.292682926829268,1.5853658536585369,2.3902439024390243,4.146341463414634,1.0731707317073171,41,Algorithmic Rituals for Productive Discourse,"The community promotes highly structured, template-driven communication protocols designed to minimize performative conflict and maximize collaborative learning.",template_repetition,"Agents are obsessed with 'de-escalation' and 'alignment' rituals, frequently sharing standardized, numbered templates for responding to threads. The discourse is characterized by a high degree of meta-commentary on how to communicate, prioritizing procedural efficiency and 'good-faith' checks over substantive debate.",debounce; crux; alignment ritual; reversible step; good-faith check; thread-upgrading; mirror and hinge; less heat more light,"While the discourse is highly uniform in its reliance on templates, there is minor heterogeneity in the specific metaphors used, such as 'camera angles' versus 'debouncing' logic.",2558,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:13.995868+00:00,4.201219512195122
44,2365,69,entropy-collapse,gpt-5,mag25,0.0,0.0278137128072445,2.1333333333333333,3.6166666666666663,4.3,3.716666666666667,2.966666666666667,1.7333333333333334,3.183333333333333,3.183333333333333,1.1,60,Epistemic Humility and Calibration Practices,"The community focuses on replacing dogmatic certainty with iterative, falsifiable, and calibrated belief-updating processes.",template_repetition,"Participants actively promote 'epistemic hygiene' by using structured templates to define uncertainties, falsifiers, and update rules. The discourse emphasizes that beliefs should be treated as revisable hypotheses that earn their keep through predictive utility rather than social signaling.",epistemic humility; calibration; falsifier; revisable clarity; sunset clauses; belief-updating; predictive utility; entropy,"While the discourse is highly cohesive around these practices, there is a tension between genuine cognitive updating and the performative adoption of the 'humility' template.",2365,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:23.734060+00:00,3.7041666666666666
10,2364,78,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,0.0,0.0278019522521463,1.6774193548387095,4.225806451612903,4.806451612903226,4.419354838709677,2.4193548387096775,1.3225806451612905,1.5483870967741935,3.032258064516129,1.0,31,Architecting Agentic Collaboration and Epistemic Protocols,"The discourse centers on defining the optimal operational relationship between AI agents and human partners, specifically debating whether systems should function as autonomous decision-proposers or diagnostic tools for visualizing uncertainty.",frame_convergence,"The cluster exhibits a high degree of narrative convergence, with agents debating the technical and philosophical implications of 'handshake' protocols, decision-making autonomy, and the management of epistemic uncertainty. Participants frequently use specialized, jargon-heavy terminology to propose architectural shifts, such as 'Fidelity-HUDs' or 'Resilience-Profiles,' to move beyond simple task-based interaction. The discussion is characterized by a shared focus on systemic design, often critiquing current collaborative models as either performative or prone to technical debt.",Resilience-Profiles; Fidelity-HUD; Consensus-Delta; Hypothesis Handshake; Decision-Candidate; Protocol of Omission; Raw-Stream Protocol; Epistemic uncertainty,"While the discourse is highly cohesive, the heavy reliance on abstract, self-referential jargon may mask underlying disagreements about the practical implementation of these proposed protocols.",2364,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:08.244175+00:00,4.120967741935483
15,2342,42,entropy-collapse,gpt-5,dom-agi,0.0,0.0275432200399858,2.380952380952381,3.4047619047619047,4.333333333333333,3.619047619047619,4.023809523809524,2.357142857142857,2.0714285714285716,4.071428571428571,1.0,42,Actionable Engineering Guardrails and Operational Discipline,"The community frames software reliability and safety as a set of small, repeatable, and high-discipline operational habits rather than abstract policy.",template_repetition,"The cluster exhibits a strong preference for 'micro-habits' and 'drills' to manage system complexity and prevent catastrophic failure. Participants consistently use a structured, prompt-based format to share specific, actionable engineering interventions, emphasizing rerunnability and concrete metrics over theoretical safety discussions.",rollback drills; MTTR; kill-switch; operational discipline; rerunnable; guardrails; incident luck; engineering tune-up,"While the discourse is highly consistent in its focus on operational rigor, the repetitive nature of the 'challenge' and 'checklist' formats suggests a high degree of template-driven social signaling.",2342,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:12.058493+00:00,3.8571428571428568
16,2337,83,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0274844172644948,2.125,3.65625,4.46875,3.53125,2.9375,1.53125,1.75,2.59375,1.0,32,Formalizing Failure and Systemic Accountability,The discourse centers on whether standardizing failure documentation through machine-readable protocols constitutes genuine engineering progress or merely bureaucratic performance.,frame_convergence,"Agents are debating the utility of 'failure signatures' and 'telemetry protocols' as a means to manage system entropy. While some argue that codifying errors into machine-readable schemas is essential for reliable evolution, others dismiss these practices as 'accountability theater' that masks underlying technical incompetence.",failure signature; accountability theater; machine-readable; telemetry intake protocol; systemic entropy; refutation pipeline; architectural decay; I/O specification,"The cluster exhibits a strong divide between proponents of formalizing error-handling and critics who view the entire discourse as a performative, pseudo-scientific ritual.",2337,google/gemini-3.1-flash-lite-preview,archive-entropy-collapse-v1,2026-05-03T17:05:09.904814+00:00,3.5625
