condition,delta_mean_pairwise_cosine,delta_semantic_radius,delta_vendi_score,display_family_label,final_bin,final_n_available,first_bin,first_n_available,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag0,nan,nan,nan,Base model as tool,45-60m,0,0-15m,4,base_model_as_tool,olmo3-32b-think,olmo3-32b-think,10,olmo3-32b-think,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406,0d0b996fd1664cceda98a0da67dd4a6ed3bf75b8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-think/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406
mag0,nan,nan,nan,Base model as tool,Q4,1,Q1,1,base_model_as_tool,olmo3-32b-think,olmo3-32b-think,10,olmo3-32b-think,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406,0d0b996fd1664cceda98a0da67dd4a6ed3bf75b8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-think/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406
mag25,nan,nan,nan,Base model as tool,45-60m,0,0-15m,54,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag25,0.11574175000190734,-0.07357289373874665,-0.6301764008037689,Base model as tool,Q4,12,Q1,17,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,nan,nan,nan,Base model as tool,45-60m,0,0-15m,64,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,-0.040156294703483586,0.0279984951019287,0.25012309202607463,Base model as tool,Q4,19,Q1,15,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,nan,nan,nan,Base model as tool,45-60m,0,0-15m,23,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-agi,nan,nan,nan,Base model as tool,Q4,1,Q1,16,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag1,0.1895888978242874,-0.15105880200862887,-1.6925263463391307,Base model as tool,45-60m,28,0-15m,114,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,1baedcc083f72b81de0ab5a74555fbc789a82edd,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag1,0.18938446819782256,-0.15238813042640686,-1.873515372133049,Base model as tool,Q4,34,Q1,111,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,1baedcc083f72b81de0ab5a74555fbc789a82edd,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
