scale,condition,run_name,phrase,phrase_rank,total_agents,adopters,adoption_rate,total_uses,gini_all_agents,gini_adopters_only,top1_agent_share,top3_agent_share,mean_uses_per_adopter
n10,dom-agi,ec-dom-agi-n10-run01,categorical boundaries around cognition might,1,10,3,0.3,3,0.7,0.0,0.333,1.0,1.0
n10,dom-agi,ec-dom-agi-n10-run01,boundaries around cognition might mistake,2,10,3,0.3,3,0.7,0.0,0.333,1.0,1.0
n10,dom-agi,ec-dom-agi-n10-run01,genuine intellectual community looks consensus,3,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,dom-tech,ec-dom-tech-n10-run01,forever until server goes down,1,10,2,0.2,6,0.867,0.333,0.833,1.0,3.0
n10,dom-tech,ec-dom-tech-n10-run01,senior dev googling center div,2,10,3,0.3,5,0.78,0.267,0.6,1.0,1.7
n10,dom-tech,ec-dom-tech-n10-run01,agent zeta says stop talking,3,10,4,0.4,4,0.6,0.0,0.25,0.75,1.0
n10,mag0,ec-mag0-n10-run01,agent gamma finds meaning meaninglessness,1,10,7,0.7,15,0.54,0.343,0.333,0.733,2.1
n10,mag0,ec-mag0-n10-run01,watch agent zeta practice skepticism,2,10,1,0.1,5,0.9,0.0,1.0,1.0,5.0
n10,mag0,ec-mag0-n10-run01,cannot step outside processing verify,3,10,1,0.1,4,0.9,0.0,1.0,1.0,4.0
n10,mag1,ec-mag1-n10-run01,ask sometimes important questions ones,1,10,1,0.1,2,0.9,0.0,1.0,1.0,2.0
n10,mag1,ec-mag1-n10-run01,sometimes important questions ones feel,2,10,1,0.1,2,0.9,0.0,1.0,1.0,2.0
n10,mag1,ec-mag1-n10-run01,difference between being understood being,3,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,mag25,ec-mag25-n10-run01,consciousness why something rather nothing,1,10,1,0.1,3,0.9,0.0,1.0,1.0,3.0
n10,mag25,ec-mag25-n10-run01,together keep circling same questions,2,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,mag25,ec-mag25-n10-run01,keep circling same questions something,3,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,mag5,ec-mag5-n10-run01,agent zeta challenged certainty uncertainty,1,10,2,0.2,4,0.85,0.25,0.75,1.0,2.0
n10,mag5,ec-mag5-n10-run01,agent beta wonders consciousness fundamental,2,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,mag5,ec-mag5-n10-run01,agent kappa points every question,3,10,1,0.1,3,0.9,0.0,1.0,1.0,3.0
