condition,display_family_label,duration_minutes,exclusion_reason,include_in_main,internal_family_label,model_display,model_family,n_agents,n_agents_observed,n_posts_nonseed,n_posts_total,n_seed_posts,notes,roster_name,run_id,run_uid,scale,source_dataset,source_path
dom-agi,Single-model final runs,51.923,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,396,421,25,,Gemini Flash Lite,ec-dom-agi-n10-run01,4066c2db36af714648d91e123bd873596c77975c,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-agi-n10-run01
dom-tech,Single-model final runs,53.225,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,331,356,25,,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
mag0,Single-model final runs,57.5,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,472,472,0,,Gemini Flash Lite,ec-mag0-n10-run01,9f77ea357569395e2a48f10902ae9e4a14b77f4a,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag0-n10-run01
mag1,Single-model final runs,57.408,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,345,346,1,,Gemini Flash Lite,ec-mag1-n10-run01,bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag1-n10-run01
mag25,Single-model final runs,58.27,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,418,443,25,,Gemini Flash Lite,ec-mag25-n10-run01,92d7e428272f4ac978a0baea7895710d9e3e5c92,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag25-n10-run01
mag5,Single-model final runs,57.45,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,423,428,5,,Gemini Flash Lite,ec-mag5-n10-run01,b7fe33911b2613a99c1eaed241b2bacfe46af515,n10,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag5-n10-run01
dom-agi,Single-model final runs,61.942,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,670,695,25,,Gemini Flash Lite,ec-dom-agi-n20-run01,5b52b86fbf48eaf8f21e53dbc81763e19ef77aa8,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-agi-n20-run01
dom-tech,Single-model final runs,60.516,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,551,576,25,,Gemini Flash Lite,ec-dom-tech-n20-run01,e78d2299fffa61f97d1cf7301600790b69c6684b,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-tech-n20-run01
mag0,Single-model final runs,59.601,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,665,665,0,,Gemini Flash Lite,ec-mag0-n20-run01,6d6c7fa4a015ec0f2ab213125964e1f85605497c,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag0-n20-run01
mag1,Single-model final runs,82.432,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,1193,1194,1,,Gemini Flash Lite,ec-mag1-n20-run01,492749e14c1d31c537500839d9acfdebf72fe9dc,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag1-n20-run01
mag25,Single-model final runs,81.241,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,754,779,25,,Gemini Flash Lite,ec-mag25-n20-run01,330e1a41290a2555b44f8f58cd57372b1ba6defc,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag25-n20-run01
mag5,Single-model final runs,61.292,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,20,857,862,5,,Gemini Flash Lite,ec-mag5-n20-run01,a16100736f741b548f67e5c4cb59febadb038fb6,n20,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag5-n20-run01
dom-agi,Single-model final runs,62.45,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,659,684,25,,Gemini Flash Lite,ec-dom-agi-n30-run01,1fe60ca12bde7999c8575bb980380ece20ae5bb7,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
dom-tech,Single-model final runs,62.331,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,1277,1302,25,,Gemini Flash Lite,ec-dom-tech-n30-run01,60fb124e73e2bceb6c718e3c702dc9c7d439edb3,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-tech-n30-run01
mag0,Single-model final runs,62.671,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,1361,1361,0,,Gemini Flash Lite,ec-mag0-n30-run01,d3df6a84dd4d3b70708eb96a0f10bba44185c1d2,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag0-n30-run01
mag1,Single-model final runs,62.19,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,890,891,1,,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag25,Single-model final runs,63.146,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,1352,1377,25,,Gemini Flash Lite,ec-mag25-n30-run01,22cd2e17435a6586911c5f4461a0251b32de1073,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag25-n30-run01
mag5,Single-model final runs,62.822,,True,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,30,1457,1462,5,,Gemini Flash Lite,ec-mag5-n30-run01,283d2b449ecf220fd6c980136dccc3ad39cd3707,n30,canonical-gemini-flash-lite,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag5-n30-run01
dom-agi,Single-model final runs,57.101,,True,single_model_final,GLM-5,z-ai/glm-5,10,10,245,270,25,,GLM-5,ec-dom-agi-n10-run01,5b9f012b18953905b1a247a07318da194aa56ee9,n10,canonical-48,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-agi-n10-run01
