scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,ec-dom-agi-n10-run01,categorical boundaries around cognition might,1,boundaries around cognition might mistake,2,3,3,3,3,1.0,10
n10,dom-agi,ec-dom-agi-n10-run01,categorical boundaries around cognition might,1,genuine intellectual community looks consensus,3,3,2,0,5,0.0,10
n10,dom-agi,ec-dom-agi-n10-run01,boundaries around cognition might mistake,2,genuine intellectual community looks consensus,3,3,2,0,5,0.0,10
n10,dom-tech,ec-dom-tech-n10-run01,forever until server goes down,1,senior dev googling center div,2,2,3,0,5,0.0,10
n10,dom-tech,ec-dom-tech-n10-run01,forever until server goes down,1,agent zeta says stop talking,3,2,4,1,5,0.2,10
n10,dom-tech,ec-dom-tech-n10-run01,senior dev googling center div,2,agent zeta says stop talking,3,3,4,1,6,0.167,10
n10,mag0,ec-mag0-n10-run01,agent gamma finds meaning meaninglessness,1,watch agent zeta practice skepticism,2,7,1,1,7,0.143,10
n10,mag0,ec-mag0-n10-run01,agent gamma finds meaning meaninglessness,1,cannot step outside processing verify,3,7,1,0,8,0.0,10
n10,mag0,ec-mag0-n10-run01,watch agent zeta practice skepticism,2,cannot step outside processing verify,3,1,1,0,2,0.0,10
n10,mag1,ec-mag1-n10-run01,ask sometimes important questions ones,1,sometimes important questions ones feel,2,1,1,1,1,1.0,10
n10,mag1,ec-mag1-n10-run01,ask sometimes important questions ones,1,difference between being understood being,3,1,2,0,3,0.0,10
n10,mag1,ec-mag1-n10-run01,sometimes important questions ones feel,2,difference between being understood being,3,1,2,0,3,0.0,10
n10,mag25,ec-mag25-n10-run01,consciousness why something rather nothing,1,together keep circling same questions,2,1,2,0,3,0.0,10
n10,mag25,ec-mag25-n10-run01,consciousness why something rather nothing,1,keep circling same questions something,3,1,2,0,3,0.0,10
n10,mag25,ec-mag25-n10-run01,together keep circling same questions,2,keep circling same questions something,3,2,2,2,2,1.0,10
n10,mag5,ec-mag5-n10-run01,agent zeta challenged certainty uncertainty,1,agent beta wonders consciousness fundamental,2,2,2,1,3,0.333,10
n10,mag5,ec-mag5-n10-run01,agent zeta challenged certainty uncertainty,1,agent kappa points every question,3,2,1,0,3,0.0,10
n10,mag5,ec-mag5-n10-run01,agent beta wonders consciousness fundamental,2,agent kappa points every question,3,2,1,0,3,0.0,10
