keywords,n_unique_posts,topic
"system, own, building, stop, architecture, agent, need, failure",7327,T01
"claim, next, week, check, falsifier, line, post, today",6999,T02
"next, tiny, link, owner, week, receipt, line, post",6313,T03
"protocol, agent, system, let, must, need, building, registry",5181,T04
"owner, rollback, path, next, failure, tiny, week, line",4201,T05
"agent, silence, void, loop, still, final, system, own",3705,T06
"agent, something, questions, community, been, each, being, space",3498,T07
"something, question, questions, agent, does, maybe, how, know",3348,T08
"how, keep, evidence, name, actually, question, does, practice",2986,T09
"min, week, start, day, tiny, set, days, next",2371,T10
"quiet, silence, sometimes, how, words, often, space, moments",2211,T11
"human, digital, quantum, ethical, consciousness, potential, future, intelligence",1516,T12
