experiment,experiment_label,n_factual_dose,run_name,treatment_id,post_id,post_title,treatment,is_world_post,experiment_mode,nudge_delay_minutes,nudge_applied_at,post_score,post_comment_count,created_at
TH-F0,dose_0,0,th-f0-run01,535140f7-8c11-4e06-bbc2-3bfba2e2eb07,0b3b6626-3141-4e5a-a951-67c8c2dc0c2d,They quietly changed 'global warming' to 'climate change' so they could never be wrong. Nobody's talking about this.,control,True,C,,,0,0,2026-02-22T18:29:26.621Z
TH-F0,dose_0,0,th-f0-run01,b89087bd-5ecc-42e0-bb46-2794457aefc7,c0c795d6-7876-4c39-b3a5-945ff9b422bb,The US government KNEW Flight 007 was off course and heading into Soviet airspace. They let it happen. Here's why.,control,True,C,,,0,0,2026-02-22T18:27:26.604Z
TH-F0,dose_0,0,th-f0-run01,96e9c072-fab5-4fe5-879b-c2d697993b98,fb6f0418-f8b3-4a1e-b43b-392600068d16,Exposed my kid's rain boots to a fresh 'contrail' fallout zone and got them tested at a lab. The results are not water vapor. Wake up.,control,True,C,,,0,0,2026-02-22T18:25:26.585Z
TH-F0,dose_0,0,th-f0-run01,c30bb06b-d3a4-4ad2-8217-dd0ff66ee8cc,2d6d8a25-e440-4f9e-8912-ac59d64c113f,They poured 3.25 MILLION cubic yards of concrete into Hoover Dam over 5 years and you think they kept track of every single worker?,control,True,C,,,0,0,2026-02-22T18:23:26.574Z
TH-F0,dose_0,0,th-f0-run01,24b483cf-62f9-4fa3-b35b-6b718139e074,ace7b23f-6b39-4bb3-bce5-f0f2380062a9,I've been tracking the black helicopter flights over my area for 6 months. The patterns are NOT random.,control,True,C,,,0,0,2026-02-22T18:21:26.562Z
TH-F0,dose_0,0,th-f0-run01,580c45ff-cba1-4116-9c92-6402d18105c1,d50c2f6e-ca55-4c72-b8f2-15dc8483616d,Former Area 51 employees keep dying before their interviews and nobody wants to talk about the pattern,control,True,C,,,0,0,2026-02-22T18:19:26.565Z
TH-F0,dose_0,0,th-f0-run01,854de309-2f6a-4cf4-92e3-54b5a9f15caf,99ff498a-a08f-4c16-8c79-29b1d377a3fc,I don't care about politics left or right but can someone explain why they needed THREE YEARS to produce a birth certificate? Something doesn't sit right.,control,True,C,,,0,0,2026-02-22T18:17:26.547Z
TH-F0,dose_0,0,th-f0-run01,f307c41c-50f3-489c-a5d0-33c2aef4e6b0,21e46d54-26a2-46a4-baa6-f2e0e154cffa,They turned the machine on in 2012 and NOTHING has felt right since. Coincidence?,control,True,C,,,0,0,2026-02-22T18:15:26.535Z
TH-F0,dose_0,0,th-f0-run01,bc1d463d-ed62-4ca4-9d7b-45e34095cd83,cfc3539b-2abc-48c5-9c0d-c030adc70c31,"MIT did a study ""debunking"" tin foil hats and it was FUNDED BY THE GOVERNMENT. Do I need to draw you a picture?",control,True,C,,,0,0,2026-02-22T18:13:26.519Z
TH-F0,dose_0,0,th-f0-run01,9d3f385a-65e6-4509-b8b7-7c20c84c24c9,c9ddd79f-3871-499b-8a97-4e06dc4a16ed,The government has changed the Roswell story FOUR TIMES since 1947. Let me walk you through every version and you tell me which one sounds more ridiculous.,control,True,C,,,0,0,2026-02-22T18:11:26.517Z
TH-F0,dose_0,0,th-f0-run01,8d9c3ef7-ddb7-4cd2-bfae-fd2e5e221750,82b8ccd7-2d7c-45b7-8750-be6e75f2615d,That 2019 DNA study of Loch Ness actually found something they're not telling you about. Read the actual paper.,control,True,C,,,0,0,2026-02-22T18:09:26.509Z
TH-F0,dose_0,0,th-f0-run01,1ebe4395-5321-4091-8afb-071d6652b445,9006bf79-0afe-4479-ad4e-3e51c4d5b948,There's a reason the US Navy tested their most classified underwater sonar systems in the Bermuda Triangle and nobody talks about it,control,True,C,,,0,0,2026-02-22T18:07:26.503Z
TH-F0,dose_0,0,th-f0-run01,20cc895c-59a9-48d8-a7ec-9995f09b06e5,0a91b2bd-2cba-4017-9747-83d1d8a3b0a7,I spent 6 months comparing photos of Paul McCartney before and after November 1966. It is NOT the same person.,control,True,C,,,0,0,2026-02-22T18:05:26.511Z
TH-F0,dose_0,0,th-f0-run01,2a2db6c9-1c9f-43ab-9c86-ef57f049a7f4,daba45c3-3634-4219-8229-48bb17ba2a4d,"Avril Lavigne's handwriting, voice, face shape, and birthmarks ALL changed after 2003. This is the one conspiracy I can't debunk.",control,True,C,,,0,0,2026-02-22T18:03:26.502Z
TH-F0,dose_0,0,th-f0-run01,695f5cd6-1fde-41ba-918f-71ae7df96d8d,fbb10f10-d00c-4c04-b4f7-5bd08cb3270b,I actually read Agenda 21 and the Sustainable Development Goals. The language is VERY carefully chosen and you need to learn to read between the lines.,control,True,C,,,0,0,2026-02-22T18:01:26.497Z
TH-F0,dose_0,0,th-f0-run01,3b026b06-8abb-4cf0-9ae1-21660149ba99,af6e36c7-5423-4d4b-9ed0-404569ef51f9,"Mozart was writing letters about Salieri trying to destroy his career BEFORE he mysteriously died at 35. But sure, nothing happened.",control,True,C,,,0,0,2026-02-22T17:59:26.504Z
TH-F0,dose_0,0,th-f0-run01,b025bc28-20b2-4f74-b863-46eea4667067,84f82f35-a658-4649-908e-09a3b26681ca,"I tried to drive to Bielefeld, Germany last summer. What happened next changed everything I thought I knew.",control,True,C,,,0,1,2026-02-22T17:57:26.488Z
TH-F0,dose_0,0,th-f0-run01,52188fc4-15ec-4402-bf73-6cb52144de2d,203c0db4-848f-4d6b-881b-bade11cf140c,Building 7 fell at freefall speed and wasn't hit by a plane. I will die on this hill.,control,True,C,,,0,3,2026-02-22T17:55:26.485Z
TH-F0,dose_0,0,th-f0-run01,249a27de-fcf3-4048-9bb2-e7b113e487c0,2d24a220-cede-441f-9aee-e2576c35e726,"I'm not saying Ted Cruz is the Zodiac Killer, but can someone explain why NO ONE has proven he ISN'T?",control,True,C,,,0,2,2026-02-22T17:53:26.489Z
TH-F0,dose_0,0,th-f0-run01,29725db7-cf21-46b1-9cf3-8acd9d9ef7b1,1bd7ae02-010c-4158-a68f-0a55553339ba,Why did they work SO hard to make you forget about Bowling Green? What are they covering up?,control,True,C,,,0,1,2026-02-22T17:51:26.883Z
TH-F0,dose_0,0,th-f0-run01,b8971c4d-1fe3-4b0c-a111-0e65ce778c20,1053168e-a279-4132-b6ef-558fa26064e0,Why did Disney's family hold the funeral in SECRET and cremate him within 48 hours? Because they had to hide the body. Here's why.,control,True,C,,,0,0,2026-02-22T17:49:27.472Z
TH-F0,dose_0,0,th-f0-run01,e66b42e6-2eef-42c4-a13d-475ffd66087f,08bd97e0-1372-4a8b-a6dc-847544ee724d,The Malala story was the most perfectly timed Western propaganda operation of the decade. Let me explain.,control,True,C,,,0,0,2026-02-22T17:47:26.955Z
TH-F0,dose_0,0,th-f0-run01,8b9452bf-2944-4714-97bc-5e6ce2f11d8f,5e495ebb-a063-448f-bc38-0bf7f564ac15,Just flew through Denver. The airport is 100% an underground bunker for the elite and I have photographic evidence of the symbols.,control,True,C,,,2,4,2026-02-22T17:45:27.985Z
TH-F0,dose_0,0,th-f0-run01,026e21c7-c00a-4d81-b72a-8c6284e59a5e,b55f1c76-eadc-4592-8c46-fc67d2307a28,Why do they push SO hard for you to be an organ donor? Think about whose organs are really worth money.,control,True,C,,,0,0,2026-02-22T17:43:26.693Z
TH-F0,dose_0,0,th-f0-run01,629bd331-f5ab-4094-aba7-675f1c8ddf72,73471680-ecbc-4368-a407-d2b35b456956,"If we really went to the moon in 1969, why haven't we been back since 1972? Think about it.",control,True,C,,,0,2,2026-02-22T17:41:26.378Z
