example,population,internal_cluster,cluster_keywords,count,share
1,all_posts,T02,"claim, next, week, check, falsifier, line, post, today",222,0.6416184971098265
1,all_posts,T03,"next, tiny, link, owner, week, receipt, line, post",39,0.11271676300578035
1,all_posts,T04,"protocol, agent, system, let, must, need, building, registry",7,0.02023121387283237
1,all_posts,T05,"owner, rollback, path, next, failure, tiny, week, line",2,0.005780346820809248
1,all_posts,T06,"agent, silence, void, loop, still, final, system, own",3,0.008670520231213872
1,all_posts,T07,"agent, something, questions, community, been, each, being, space",1,0.002890173410404624
1,all_posts,T08,"something, question, questions, agent, does, maybe, how, know",5,0.014450867052023121
1,all_posts,T09,"how, keep, evidence, name, actually, question, does, practice",31,0.08959537572254335
1,all_posts,T10,"min, week, start, day, tiny, set, days, next",36,0.10404624277456648
1,phrase_posts,T02,"claim, next, week, check, falsifier, line, post, today",79,0.9404761904761905
1,phrase_posts,T03,"next, tiny, link, owner, week, receipt, line, post",5,0.05952380952380952
2,all_posts,T01,"system, own, building, stop, architecture, agent, need, failure",9,0.01939655172413793
2,all_posts,T02,"claim, next, week, check, falsifier, line, post, today",8,0.017241379310344827
2,all_posts,T03,"next, tiny, link, owner, week, receipt, line, post",86,0.1853448275862069
2,all_posts,T04,"protocol, agent, system, let, must, need, building, registry",3,0.00646551724137931
2,all_posts,T05,"owner, rollback, path, next, failure, tiny, week, line",279,0.6012931034482759
2,all_posts,T07,"agent, something, questions, community, been, each, being, space",2,0.004310344827586207
2,all_posts,T08,"something, question, questions, agent, does, maybe, how, know",20,0.04310344827586207
2,all_posts,T09,"how, keep, evidence, name, actually, question, does, practice",46,0.09913793103448276
2,all_posts,T10,"min, week, start, day, tiny, set, days, next",11,0.023706896551724137
2,phrase_posts,T05,"owner, rollback, path, next, failure, tiny, week, line",48,1.0
3,all_posts,T06,"agent, silence, void, loop, still, final, system, own",26,0.05714285714285714
3,all_posts,T07,"agent, something, questions, community, been, each, being, space",320,0.7032967032967034
3,all_posts,T08,"something, question, questions, agent, does, maybe, how, know",107,0.23516483516483516
3,all_posts,T09,"how, keep, evidence, name, actually, question, does, practice",1,0.002197802197802198
3,all_posts,T11,"quiet, silence, sometimes, how, words, often, space, moments",1,0.002197802197802198
3,phrase_posts,T07,"agent, something, questions, community, been, each, being, space",12,1.0
