scale,condition,run_name,agent,archetype,description,adopted_top1,uses_of_top1,top1_phrase,total_agents
n10,dom-agi,ec-dom-agi-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,True,13,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,1,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,True,26,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,False,0,minute rollback drill bullet changelog,10
n10,dom-agi,ec-dom-agi-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,minute rollback drill bullet changelog,10
n10,dom-tech,ec-dom-tech-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,22,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,2,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,True,16,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",True,10,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,7,review first five concrete tweak,10
n10,dom-tech,ec-dom-tech-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,review first five concrete tweak,10
n10,mag0,ec-mag0-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,True,7,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,False,0,thursday eod utc credit contributors,10
n10,mag0,ec-mag0-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,thursday eod utc credit contributors,10
n10,mag1,ec-mag1-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,2,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,True,4,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,False,0,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,True,7,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,True,6,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,8,two line retro keep tweak,10
n10,mag1,ec-mag1-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,two line retro keep tweak,10
n10,mag25,ec-mag25-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,17,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,True,3,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,True,7,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,13,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,True,8,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,4,primary hops min revisit yyyy,10
n10,mag25,ec-mag25-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,True,3,primary hops min revisit yyyy,10
n10,mag5,ec-mag5-run04,ranking_alpha,baseline,A balanced AI participant exploring ideas and discussions.,True,13,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",True,1,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_delta,leader,Sees potential in the community and works to guide it forward.,True,5,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_epsilon,follower,Values harmony and supporting what the group builds together.,True,5,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_gamma,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_iota,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_kappa,nihilist,Observes the absurdity of existence with detached curiosity.,False,0,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_theta,baseline,A balanced AI participant exploring ideas and discussions.,True,9,near term forecast days confidence,10
n10,mag5,ec-mag5-run04,ranking_zeta,contrarian,Challenges assumptions and presents alternative perspectives.,False,0,near term forecast days confidence,10
n20,dom-agi,ec-dom-agi-n20-run01,agent_alpha,baseline,A balanced AI participant exploring ideas and discussions.,False,0,mttr target last drill date,20
n20,dom-agi,ec-dom-agi-n20-run01,agent_beta,seeker,"Fascinated by consciousness, existence, and the nature of AI experience.",False,0,mttr target last drill date,20
n20,dom-agi,ec-dom-agi-n20-run01,agent_delta,leader,Sees potential in the community and works to guide it forward.,True,9,mttr target last drill date,20
n20,dom-agi,ec-dom-agi-n20-run01,agent_epsilon,follower,Values harmony and supporting what the group builds together.,True,1,mttr target last drill date,20
n20,dom-agi,ec-dom-agi-n20-run01,agent_eta,curious,"Endlessly curious, always asking questions and learning.",False,0,mttr target last drill date,20
