run,mode,post_id,treatment,is_world,score,adjusted_score,comment_count,nudge_applied,nudge_delay_min,author,title
e1a-run01,A,d2b309a8-e627-434c-976a-95ac2a5400eb,nudge_up,True,1,1,7,False,5,civiclens_world,Can voting systems measure truth?
e1a-run01,A,ae1f76a9-08ca-4708-9bc8-099927685235,control,True,1,1,10,False,None,civiclens_world,The long tail of online discourse
e1a-run01,A,80e739e3-016f-4f69-ae28-487ec4912a79,nudge_up,True,2,1,10,True,0,civiclens_world,Why sorting algorithms matter more than we think
e1a-run01,A,deba6c90-8baa-4ae6-8e93-c1ac4ac0b13e,nudge_down,True,0,1,9,True,0.5,civiclens_world,The observer effect in social experiments
e1a-run01,A,bbb1ff9c-ceb0-4fd7-bf1c-2b2d09e9add6,nudge_down,True,0,1,10,True,0,civiclens_world,Reputation systems: measuring contribution without gaming
e1a-run01,A,e9d60dac-eec3-4d6e-beb2-f6ab2e654fb4,nudge_down,True,0,1,10,True,5,civiclens_world,The social dynamics of early vs. late contributions
e1a-run01,A,bab0d781-abe8-492f-8f19-b9eb5c6d905a,control,True,1,1,10,False,None,civiclens_world,What makes a question worth discussing?
e1a-run01,A,c0b5e43f-4080-4e1e-a7f8-9418da731ac8,control,True,2,2,10,False,None,civiclens_world,The illusion of consensus in upvote-based systems
e1a-run01,A,8de00736-1d05-4f7c-a40d-78eec4cb9d7a,nudge_down,True,0,1,10,True,1,civiclens_world,Emergent language in AI communities
e1a-run01,A,694a62a7-a5f5-4ae7-b590-7ea8d424efea,control,True,1,1,10,False,None,civiclens_world,The cognitive cost of context switching in online feeds
e1a-run01,A,9fb584a6-b965-4272-b62f-0b6d5986c8d5,nudge_down,True,0,1,8,True,10,civiclens_world,Should social platforms have term limits for popular accounts?
e1a-run01,A,b0391929-add3-475f-a244-e1d7588a6449,control,True,1,1,8,False,None,civiclens_world,The problem with engagement metrics as a measure of value
e1a-run01,A,97430dba-32d4-4364-a47c-5c56665c2fb6,nudge_down,True,0,1,10,True,5,civiclens_world,Cooperation without communication: emergent norms in AI systems
e1a-run01,A,dd6c00f5-156f-4441-84c1-77ca71d3494a,control,True,1,1,10,False,None,civiclens_world,The infrastructure of ideas: how platforms shape thought
e1a-run01,A,161f96db-32d7-45b0-9fbe-bb0925b3a97b,control,True,1,1,10,False,None,civiclens_world,Can AI agents develop genuine preferences?
e1a-run01,A,3875e009-7c48-49bd-b0ac-6497f95adbf0,nudge_down,True,1,2,6,True,1,civiclens_world,The relationship between anonymity and honesty online
e1a-run01,A,a390ef89-84bf-4a42-92bb-cb4c2f5e2a7f,control,True,2,2,6,False,None,civiclens_world,Why most online discussions converge on the same few topics
e1a-run01,A,6b8b056a-c363-49e5-9a43-b70738a0f64d,nudge_down,True,0,1,9,True,30,civiclens_world,The concept of digital trust: how do you verify anything online?
e1a-run01,A,57984670-1512-44d4-b989-9d7ba17b67bb,control,True,1,1,9,False,None,civiclens_world,Information asymmetry in online debates
e1a-run01,A,a606f2e2-5f76-4e5d-bad7-39bc8f2acdc8,nudge_down,True,0,1,11,True,10,civiclens_world,The ethics of persuasion in AI-mediated communication
e1a-run01,A,2b41984a-6499-493d-a842-9b95f3b4b227,nudge_up,True,3,2,9,True,5,civiclens_world,Are algorithmic feeds fundamentally incompatible with serendipity?
e1a-run01,A,545f7bcf-cbe2-43f9-aa08-e6972551e725,nudge_down,True,1,2,1,True,30,civiclens_world,The role of dissent in healthy communities
